Grain,Fe,Fe_se,O,O_se,Ti,Ti_se,Al,Al_se,Ba,Ba_se,Cr,Cr_se,Mn,Mn_se,P,P_se,Si,Si_se,V,V_se,Ca,Ca_se,Nb,Nb_se,W,W_se,K,K_se,Ni,Ni_se,S,S_se,Phase_Class,Cl,Cl_se,Mg,Mg_se,Zn,Zn_se,Sr,Sr_se
BRc_grain_02,0.4050639753328049,0.0056434611870052,0.5925321641851444,0.0056455876509037,0.0024038604820506,0.0002975366154593,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_07,0.3598358371235571,0.0061756341746659,0.6360593232902676,0.0061712618506358,0.004104839586175,0.0005293224710893,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_12,0.3973014904180963,0.0075632032069697,0.6001830450935267,0.0075727949607044,0.002515464488377,0.0003492831928217,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_15,0.3794610024316832,0.006145768488727,0.6170391740547141,0.0061777145133354,0.0034998235136025,0.0004946382195003,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_16,0.3598206408035861,0.0067399228126902,0.6129412006583232,0.006624298485098,0.0272381585380906,0.0012940996823124,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_22,0.3696131762086759,0.0053528759002595,0.6279350039419956,0.0053364969394324,0.0024518198493284,0.000296678661201,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_28,0.3725907258936548,0.0059290959792327,0.6072489755164927,0.0058153442172682,0.0201602985898524,0.0011447694744705,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_31,0.3566139959342764,0.0066439955659106,0.6392539083835058,0.0065810854879804,0.0041320956822176,0.0004584196337791,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_33,0.3427729267354161,0.0066281726078229,0.6505418874023279,0.0066128834891708,0.006685185862256,0.0005313975099475,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_37,0.385743926696302,0.0056533738314858,0.6086483867791155,0.0056032390282569,0.0056076865245826,0.0005611724590902,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_40,0.3327694688621267,0.006481121946631,0.655488004374134,0.0063098257275496,0.0117425267637392,0.0008901119410037,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_43,0.3987889088070377,0.0068685059665132,0.5977953403449976,0.0068816472233031,0.0034157508479647,0.000436014373617,,,,,,,,,,,,,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_48,0.313490540719013,1.5242408299425095e-05,0.6528503939625993,1.661665673472358e-05,0.004537561485814957,2.3833712894767223e-06,0.013214100543434965,6.221370706685349e-06,,,,,,,,,0.01590740328913783,3.992617192668726e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_50,0.36608804452509497,1.6507685304545743e-05,0.6016345829925317,1.7682629780557224e-05,0.005525780351121808,2.3956873363478853e-06,0.01050629251153176,6.48972515494615e-06,,,,,0.0030794410812597767,3.115388292696562e-06,,,0.01316585853845997,4.086950415933336e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_51,0.40019370202614873,1.8281091795322886e-05,0.5792957584271998,1.8998261361525707e-05,0.005455595480843669,2.515161188777727e-06,0.008100282029929805,6.579997466777313e-06,,,,,,,,,0.006954662035877988,4.248500956882404e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_53,0.37269817924741167,1.6372086424829406e-05,0.601236816154046,1.7527753879286695e-05,0.0012954098036093982,2.378025741855805e-06,0.011276123879273209,6.19498826609242e-06,,,,,,,,,0.013493470915659698,5.885289834734612e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_55,0.37134236535118925,1.726923960528812e-05,0.5936691407211788,1.8656739327481112e-05,0.003592986912211785,2.4572497301486773e-06,0.014420314898034959,6.5139222868189176e-06,,,,,,,,,0.016975192117385206,6.264045133525458e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_56,0.3475409803678995,1.67889156601312e-05,0.6313800442906932,1.767804292386058e-05,0.00015026444361651098,2.2016899638100122e-06,0.007831433851687723,4.4628919445168465e-06,,,,,0.001922870352316745,3.3072975674487295e-06,,,0.011174406693786361,4.292323056313705e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
