Grain,Fe,Fe_se,O,O_se,Ti,Ti_se,Al,Al_se,Ba,Ba_se,Cr,Cr_se,Mn,Mn_se,P,P_se,Si,Si_se,V,V_se,Ca,Ca_se,Nb,Nb_se,W,W_se,K,K_se,Ni,Ni_se,S,S_se,Phase_Class,Cl,Cl_se,Mg,Mg_se,Zn,Zn_se,Sr,Sr_se
BRc_grain_04,0.2778172497114423,0.0101966269299151,0.630183431798981,0.0131571328486002,0.0919993184895767,0.004191507517804,,,,,,,,,,,,,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_09,0.2949920155497441,0.0071637305291789,0.6285989902301523,0.0067096022593322,0.0764089942201036,0.0034847676405333,,,,,,,,,,,,,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_16,0.3598206408035861,0.0067399228126902,0.6129412006583232,0.006624298485098,0.0272381585380906,0.0012940996823124,,,,,,,,,,,,,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_28,0.3725907258936548,0.0059290959792327,0.6072489755164927,0.0058153442172682,0.0201602985898524,0.0011447694744705,,,,,,,,,,,,,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_40,0.3327694688621267,0.006481121946631,0.655488004374134,0.0063098257275496,0.0117425267637392,0.0008901119410037,,,,,,,,,,,,,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_46,0.28555118355833603,1.7150910754125508e-05,0.6270496850890016,2.0912536538202853e-05,0.07398983769934332,6.261974510591466e-06,0.004985389756320217,4.001018784452526e-06,,,,,0.006021313796055748,2.8780551278698965e-06,,,0.002402590100943124,3.7928527645258134e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_49,0.2744662006581553,1.8190099586358867e-05,0.5902723069738501,2.466672421323659e-05,0.11309893799004982,9.067889411112072e-06,0.005290195758859215,4.255111796648767e-06,,,,,0.013868064880699645,4.2748213683439815e-06,,,0.0030042937383859777,4.238440651432093e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_59,0.2678741483097726,1.6683939930161338e-05,0.6194257002413486,2.1709470495150427e-05,0.09112081657193744,7.672835749258606e-06,0.010460160104899143,6.0170313180429146e-06,,,,,0.005408729425839083,2.9464679605539315e-06,,,0.005710445346203254,3.7948710475360414e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_61,0.26497924505918335,1.764585707583952e-05,0.6176862591661565,2.333978374851848e-05,0.10121460368927337,8.438171509747176e-06,0.010174773237543754,4.177469810503753e-06,,,,,0.003333783069541077,2.999606154566467e-06,,,0.0026113357783019357,4.019234507359319e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_62,0.25790834440385657,1.689061998865315e-05,0.623376653570983,2.281404540667825e-05,0.09844821374691821,8.27689008642276e-06,0.008534958679107507,3.973626760746394e-06,,,,,0.00532089799290263,2.8769492033650494e-06,,,0.0064109316062319665,3.8035987584136407e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
