Grain,Al,Al_se,Ca,Ca_se,Fe,Fe_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,Si,Si_se,Ti,Ti_se,V,V_se,W,W_se
Hematite_370_01,0.0011434624598489747,3.419585189147595e-06,,,0.4078978222892763,1.2737795029601284e-05,,,,,0.5899611228306968,1.295468673291579e-05,,,0.0009975924201780005,2.8545375353992924e-06,,,,,,
Hematite_370_02,0.0005921875032519036,3.4327383012347875e-06,,,0.4080510582397085,1.2678877932814261e-05,,,,,0.5909216833989588,1.284077849814923e-05,,,0.0004350708580808693,2.8906865485388388e-06,,,,,,
Hematite_370_03,0.00206866687742378,3.368553392729001e-06,0.000465063267512048,1.6769689647637136e-06,0.4050970122547272,1.269783732213026e-05,,,,,0.5915823683735205,1.2912683174332902e-05,,,0.0007868892268164948,2.8123427776331286e-06,,,,,,
Hematite_370_04,,,0.0012957371914145248,1.7198597614285428e-06,0.4052579400953914,1.2896151696294792e-05,,,,,0.5918490947700331,1.3069388486604639e-05,,,0.0009921648882392517,2.9751576763637444e-06,,,,,0.0006050630549216923,2.955109241254236e-06
Hematite_370_05,,,0.00037194556679175534,1.7058899033435211e-06,0.4109113416736134,1.2728702521182494e-05,,,,,0.5883925315227035,1.2803822184879736e-05,,,,,,,,,0.0003241812368913086,2.8247133444767325e-06
Hematite_370_06,0.000657759732208738,3.302567981190214e-06,,,0.40842142418335275,1.2569148743066972e-05,,,,,0.5901745883768172,1.2763965699447525e-05,,,,,,,,,0.000746227707621348,2.8144057171469877e-06
Hematite_370_07,,,,,0.4092311047635742,1.2367350513487849e-05,,,,,0.5900805243141256,1.2441664213664142e-05,,,0.0006883709223001689,2.8047130066405153e-06,,,,,,
Hematite_370_08,,,0.0007388065961038728,1.6767578452350343e-06,0.4054965938283537,1.2702146075820405e-05,,,,,0.5923561907416666,1.2786801441007462e-05,,,0.0014084088338758368,2.7898229770630474e-06,,,,,,
Hematite_370_09,,,0.0012531831106955401,1.7342776350496187e-06,0.40677024893441255,1.2902601138198242e-05,,,,,0.5907805197151478,1.282660603419998e-05,,,0.00119604823974413,2.759726835114127e-06,,,,,,
Hematite_370_10,0.00087292021873323,3.3688511989873705e-06,,,0.4138293894287913,1.271671146310371e-05,,,,,0.5852976903524755,1.281478144130482e-05,,,,,,,,,,
