Grain,Al,Al_se,Ca,Ca_se,Fe,Fe_se,K,K_se,Mn,Mn_se,Nb,Nb_se,Ni,Ni_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
Illmenite_01,,,,,0.1964050355122591,1.2491214373072058e-05,,,0.019152833093353534,3.1005293705302437e-06,0.00223920757198615,2.381654922332924e-06,,,0.6083145454141198,2.2455869076774024e-05,,,,,0.0006469397238471999,1.9617517227375755e-06,0.171878017787217,1.0716359721599578e-05,0.0013634208972171755,3.246351101292387e-06
Illmenite_02,,,,,0.19099061203979367,1.1084050974874958e-05,,,0.01941980662065018,3.0433791846996575e-06,0.0022387850009522267,2.277528397539396e-06,,,0.6141890304885411,1.9405475826681186e-05,,,,,,,0.17316176585006274,9.768554870464415e-06,,
Illmenite_03,,,,,0.18715079105730417,1.2047257474532018e-05,,,0.01979622793027369,3.1343890508648836e-06,0.0022346235748173797,2.3704842964828035e-06,,,0.6147324287862158,2.192052183094108e-05,,,,,,,0.1749708579186941,1.0581156421408928e-05,0.001115070732694774,3.111116300877874e-06
Hematite_Elba_01,,,,,0.4100017217052767,1.2889764492469878e-05,,,,,,,,,0.5895224005083566,1.2884661122245227e-05,,,,,0.00047587778636669527,2.1584136070860906e-06,,,,
Hematite_Elba_02,0.0004883718927195103,2.224058630180427e-06,,,0.40987573143273226,1.2760523043747888e-05,,,,,,,,,0.5890472973225569,1.2809656300268213e-05,,,,,0.0005885993519912969,2.1364125018258236e-06,,,,
Hematite_Elba_03,0.00037173588302479835,2.312778998607933e-06,,,0.41015017538191495,1.2800299299399446e-05,,,,,,,,,0.5888857138899456,1.3026490280463125e-05,,,,,0.0005923748451147692,2.1411984608092484e-06,,,,
Magnetite_oxpuck_01,0.0024430076244706,4.640662489472956e-06,,,0.4398543648116735,1.4201200899251252e-05,,,,,,,,,0.5566442207640506,1.446545189672422e-05,,,,,0.0006224465659332819,2.2184035080403986e-06,0.0004359602338719097,1.3046628658570763e-06,,
Magnetite_oxpuck_02,0.0024252175806206214,4.638443291405482e-06,,,0.4377850266093932,1.3825799590371862e-05,,,,,,,,,0.5588109352460591,1.3936058086441103e-05,,,,,0.000615781867343024,2.2189143977767755e-06,0.000363038696584014,1.300711819077691e-06,,
Magnetite_oxpuck_03,0.0023016784917158973,4.6107005748628415e-06,,,0.43724788538050324,1.3786102679213332e-05,,,,,,,,,0.5592096274400983,1.39768554622417e-05,,,,,0.0007352878553417753,2.2772186414258324e-06,0.0005055208323407212,1.3345116020483413e-06,,
BRc_grain_121,0.002259103683422469,2.102279919153761e-06,0.0009141452657212743,1.3909550632897865e-06,0.26512842498537337,1.2929652300736239e-05,,,0.014127937830847028,3.0237750236770735e-06,,,,,0.6164064425350434,1.7405308652150317e-05,,,,,0.0008700454646378972,1.9542075883054717e-06,0.09904009194232136,5.969065611488022e-06,0.001253808292633209,2.217213393129958e-06
BRc_grain_122,0.0024972374688219377,2.1007812340922916e-06,0.0005339873766658125,1.370812868396599e-06,0.2844169511314613,1.2984700842744985e-05,,,0.004955560454678462,2.03910201181686e-06,,,,,0.6212441612237728,1.619403394247753e-05,,,,,0.003918201085018321,2.0444675607927777e-06,0.08243390125958133,5.459059097126109e-06,,
BRc_grain_123,0.0048069502584624346,4.2900836981821415e-06,0.0005675155429225078,1.4850904045143873e-06,0.37487104259327875,1.316489585161491e-05,0.0004987153013976391,1.5161215687233643e-06,,,,,,,0.5978591450949502,1.4181482311811194e-05,,,,,0.00972315754696377,4.193281710784453e-06,0.011673473662024723,2.538797797066741e-06,,
BRc_grain_124,0.007886506133661998,4.23348518692455e-06,0.0019517709819523892,1.4169160617854205e-06,0.3522818318314409,1.235936674769159e-05,0.002719308872673749,1.4582024984134658e-06,0.0011431232489116667,2.063268710878743e-06,,,,,0.6038289677643052,1.357475088228145e-05,,,,,0.02005728338620386,4.075430900667706e-06,0.010131207780850382,2.387575897824316e-06,,
BRc_grain_125,0.002515529783705033,4.41678399162776e-06,0.00040233901319158783,1.4812457891862938e-06,0.38870806575732997,1.2086400161705171e-05,,,,,,,0.0014283971885539805,2.979742511901626e-06,0.6005679643751007,1.2550146112511525e-05,,,,,0.0033390449996685964,2.08070090163613e-06,0.0030386588824501018,1.2080016826111943e-06,,
BRc_grain_126,0.005710708096641163,4.007901269321165e-06,,,0.35506770165201956,1.1865006525555176e-05,,,,,,,,,0.6304589371069222,1.2372616344542062e-05,,,,,0.002636425371675859,1.8971005524704524e-06,0.006126227772741162,2.241640655296895e-06,,
BRc_grain_127,0.0019320001396142038,4.390057779643182e-06,,,0.3963057055621391,1.2425878436944135e-05,,,0.0017237925004031892,2.1086000877606725e-06,,,,,0.5952199662392579,1.2783581064808619e-05,,,,,0.002907821235378826,2.095451715970661e-06,0.0019107143232068267,1.2348028761383254e-06,,
BRc_grain_128,0.0089906305088293,4.264841644200545e-06,0.0010344675027105761,1.419658608234233e-06,0.36016067963791176,1.2613835587994834e-05,0.001633594594256013,1.5005860038119012e-06,0.0011696538825729844,2.14441220798333e-06,,,,,0.6005724478809337,1.3870985054453753e-05,,,,,0.019099613728208894,4.105549694673745e-06,0.007338912264576908,2.443249960499784e-06,,
BRc_grain_129,,,,,0.3988062897193623,1.2461543199438744e-05,,,,,,,,,0.5968963208334015,1.2563786930418237e-05,,,,,0.00429738944723615,2.074833109817884e-06,,,,
BRc_grain_130,,,0.0003849380236632391,1.4044868015256514e-06,0.3106179097785608,1.2701309070771667e-05,,,0.003204889834789101,2.056301744386529e-06,,,,,0.6117005623954339,1.5059402582587176e-05,,,,,,,0.07409169996755292,4.32565287008364e-06,,
BRc_grain_131,0.004653634009722929,4.301364966758287e-06,0.0004811981335803668,1.4419299009968603e-06,0.3829525355338789,1.2089327329957346e-05,0.000330499964340571,1.5295836588603576e-06,,,,,,,0.5978592697174032,1.2875471962011408e-05,,,,,0.007675081126190311,4.033804758541392e-06,0.006047781514883693,2.483501710445105e-06,,
