Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Sr,Sr_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se,Ba,Ba_se,Cr,Cr_se,Ni,Ni_se
BRc02_grain_01,,,,,0.03149560404034973,0.00014075912138573402,14.869211079000817,0.0009946941193515538,,,,,0.2281036167069935,0.0001897438777834385,,,64.37996374351243,0.0020805584801824486,,,,,0.08950312015294067,0.00018168503635046957,,,20.401722836586472,0.0012506408162946217,,,,,,,,,,,,
BRc02_grain_02,,,,,,,38.24771826200334,0.0012436537264530131,,,,,0.07038409071663286,0.00019848778787923057,,,61.3010068737514,0.001260093885391834,,,,,0.38089077352863104,0.0001861901284428512,,,,,,,,,,,,,,,,
BRc02_grain_03,,,,,,,37.499396154209656,0.0012528389956665365,,,,,,,,,60.31611696141276,0.0013103974226209678,,,,,1.936912259274275,0.00039099859896344784,,,0.24757462510330855,0.00011370009922177485,,,,,,,,,,,,
BRc02_grain_04,0.06980465064416608,0.0004218671205567741,0.03906331775171889,0.00014229124106512078,,,40.03677523136862,0.0013233800656684445,,,,,,,,,59.56501028219504,0.0013282435931490772,,,,,0.14509466133689705,0.00020365150220195415,,,0.14425185670355045,0.00011879157508226518,,,,,,,,,,,,
BRc02_grain_05,0.43610550220430055,0.0004102925732612065,0.04501472264694327,0.00013609938491034206,,,36.23960362343765,0.0011984993648879092,0.046281267047030734,0.00013940199227843375,,,,,,,60.817445765012124,0.0012887305624604366,,,,,0.9228183233394719,0.0003877255180363914,,,1.4927307963124632,0.00023283027661938124,,,,,,,,,,,,
BRc02_grain_06,0.0556454516280948,0.00040795466886725377,,,,,38.59064336648829,0.0012666097821228293,,,,,,,,,60.94764360035641,0.0012912547939248277,,,,,0.4060675815272015,0.0001901376801123424,,,,,,,,,,,,,,,,
BRc02_grain_07,,,0.04664978537521999,0.00014028531777028947,,,39.21943269901626,0.0012875539107816503,,,,,,,,,59.968090561846864,0.0013138527142233332,,,,,0.7204574097972245,0.00040287422772506987,,,0.045369543964430846,0.00011592673284494479,,,,,,,,,,,,
BRc02_grain_08,0.6000327376548867,0.0003911313913400312,0.05860474119721316,0.00013459411998807477,,,30.725196826951063,0.0013317315956554083,,,1.9364429536130767,0.0004433815244977313,0.12854241888696438,0.00019953193547540815,,,60.31921868999818,0.001650938318575324,,,,,0.38755961217745494,0.0001914236769547739,,,5.580894813852248,0.00038697921110478493,0.1559033015959564,0.0002084001249751541,,,,,,,0.10760390407296223,0.00020345166279236586,,
BRc02_grain_09,0.535835185824764,0.00039457030750805863,0.08644243959811185,0.00012991873663914034,,,30.658930231860694,0.0010744758119241482,,,,,0.38884038578054714,0.00019356117962925225,,,66.87758958469419,0.0011616524605760797,0.04646611946572851,0.00016857831224680533,,,1.2129508160007627,0.0003716988870220198,,,0.19294523677519942,0.00010999032709354224,,,,,,,,,,,,
BRc02_grain_10,0.15003118014386949,0.00038091434979879203,0.02891076649332107,0.00013184867601834845,,,36.774967379521954,0.0011747706777858738,,,,,,,,,62.44300021713075,0.001232104151595982,,,,,0.42208897455158795,0.0003786296431107984,,,0.1810014821585187,0.00011128659647274048,,,,,,,,,,,,
