Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Cr,Cr_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
Hematite_370_01,,,,,,,,,0.3947444925359358,1.1379606707946986e-05,,,,,,,,,0.6052555074640642,1.1379606707946998e-05,,,,,,,,,,
Hematite_370_02,,,,,,,,,0.3910689881659343,1.4212387393263624e-05,,,,,,,,,0.6089310118340657,1.4212387393263612e-05,,,,,,,,,,
Mag_395,0.0017759030701871646,4.395591100243948e-06,,,,,,,0.4196462398722275,1.3049152013011973e-05,,,,,,,,,0.5777833072300489,1.328726114247093e-05,,,,,0.0007945498275364518,2.0949558753601258e-06,,,,
Illmenite_01,,,,,,,,,0.18178641062149994,1.0460656183683544e-05,,,,,0.018828699656694706,2.8529081809812757e-06,0.002047138235940057,2.1001173934063644e-06,0.6285310069122851,1.8642005814175834e-05,,,,,,,0.1688067445735802,9.317495172788013e-06,,
Illmenite_02,,,,,,,,,0.1829762512918705,1.0368344974703383e-05,,,,,0.018972465463842493,2.8859820579241502e-06,0.002190611816176921,2.139767445464555e-06,0.6281258289489055,1.8740813300240495e-05,,,,,,,0.16773484247920473,9.351731479057554e-06,,
Illmenite_03,,,,,,,,,0.18556363761242914,1.0835782961435275e-05,,,,,0.019390113378945893,2.899970540713752e-06,0.0021659418995348652,2.223487030560411e-06,0.622317267959592,1.9386981241612015e-05,,,,,,,0.17056303914949805,9.734095092006133e-06,,
Hematite_Elba_01,,,,,,,,,0.39436485702096197,1.2919012216614696e-05,,,,,,,,,0.6049786475818287,1.2944017354528024e-05,,,,,0.0006564953972092105,2.0153474484930326e-06,,,,
Hematite_Elba_02,,,,,,,,,0.39453388444318077,1.444229622166161e-05,,,,,,,,,0.6049186970198823,1.4528576999913695e-05,,,,,0.0005474185369367861,4.003807580014693e-06,,,,
Magnetite_oxpuck_01,0.0024715695571261146,4.26892762495759e-06,,,,,,,0.4214403717739812,1.2602536949532706e-05,,,,,,,,,0.5754129646752933,1.2683994868107828e-05,,,,,0.0006750939935992298,2.1103775984737654e-06,,,,
Magnetite_oxpuck_02,0.002467626493043254,4.272162229202651e-06,,,,,,,0.4215151184855407,1.2888081170766251e-05,,,,,,,,,0.57487661716848,1.3052994657035535e-05,,,,,0.0006774357939355307,2.0237478744342365e-06,0.000463202059000604,1.2215314422963535e-06,,
BRe_grain_21,,,,,,,,,0.3947563809821298,1.1645375100063731e-05,,,,,,,,,0.6025909824632039,1.176286022622e-05,,,,,0.002652636554666356,2.061007300388928e-06,,,,
BRe_grain_22,0.0030160636526445636,4.000623643466429e-06,,,,,,,0.3152433528467369,1.230715818738195e-05,,,,,0.00434437051849764,1.9350584673080745e-06,,,0.6232721012908289,1.4105644012726434e-05,,,,,0.003108557934219013,1.9003630279523895e-06,0.05101555375707303,3.613567674010878e-06,,
BRe_grain_23,0.0072464773862289155,4.022275222778149e-06,0.0011244602635175156,1.3695597555390683e-06,,,,,0.35078240884500245,1.1536560534112181e-05,,,,,0.001315374322637772,2.0349624503237986e-06,,,0.6136417701299726,1.2649408430502132e-05,,,,,0.016062326762166124,3.7740948451267753e-06,0.009294780990720786,2.326836606572541e-06,0.0005324012997537966,2.163394567858789e-06
BRe_grain_24,0.0005840412025363777,2.1211678769942338e-06,,,,,,,0.40260099649788555,1.1980789260911732e-05,,,,,,,,,0.5946500183129092,1.214312778770572e-05,,,,,0.00111740886820473,2.074046834371821e-06,0.0010475351184641303,1.2043940139653688e-06,,
BRe_grain_25,0.003515342186468596,4.003807971189458e-06,,,,,,,0.309027604254958,1.089981410953804e-05,,,,,0.001188266592040679,1.957432557563638e-06,,,0.6695690444596841,1.1775974544299697e-05,,,,,0.01669974250684867,3.8025954605238965e-06,,,,
BRe_grain_26,,,,,,,,,0.3922162484644075,1.2763108184588115e-05,,,,,,,,,0.6022179916819737,1.292125967229479e-05,,,,,0.005177676284359719,1.9539766513848456e-06,0.00038808356925904637,1.1782956235479722e-06,,
BRe_grain_27,,,,,,,,,0.38840880523766563,1.2538813709771305e-05,,,,,,,,,0.6068793863581043,1.268790342791343e-05,,,,,0.003814732688418083,1.984010160243565e-06,0.0008970757158119143,1.1595572908773747e-06,,
BRe_grain_28,0.0015658591194092253,4.07194852015052e-06,,,,,,,0.37702328582299954,1.2287416761909064e-05,,,,,0.002968687743513115,2.002159979669527e-06,,,0.6074468015124176,1.2809570333497235e-05,0.0013618045182799176,1.7576225156326702e-06,,,0.008814016838729314,3.943048718577151e-06,0.0008195444446513738,1.1433151721135544e-06,,
BRe_grain_29,0.004084532589567471,3.830390871709796e-06,,,,,,,0.328139106268478,1.1344735838978793e-05,,,,,0.0009773062642133925,1.931460986916246e-06,,,0.6309084922549633,1.2588519263580929e-05,,,,,0.004323182839021176,1.8627286007773435e-06,0.02779505054211634,3.2646128593225893e-06,0.003772329241640451,2.0644828983366514e-06
BRe_grain_30,0.009956899454459133,4.006248089960747e-06,,,,,,,0.3734984765265076,1.2637059322011002e-05,,,,,0.0010585446694822706,2.005610710262361e-06,,,0.6012820109374292,1.3487289326987442e-05,,,,,0.012484310318327573,3.999113525623666e-06,0.001719758093794245,1.1835383588181949e-06,,
BRe_grain_31,0.0012492366997767597,4.149378012923768e-06,,,,,,,0.3887158501765085,1.2740489587070514e-05,,,,,,,,,0.6033681942901152,1.3218182956250284e-05,,,,,0.006661493780189976,3.921336380351968e-06,5.22505340955491e-06,2.96570233546662e-07,,
BRe_grain_32,0.0023191238423661592,3.885603299770594e-06,,,,,,,0.28677811340805903,1.2296965942451548e-05,,,,,0.005125626145819297,1.8784908986386945e-06,,,0.633045996250959,1.4882385329036947e-05,,,,,0.0017177766944354033,1.8479352126214505e-06,0.06772060769846176,4.785519407556002e-06,0.00329275595989931,2.0266350147120353e-06
BRe_grain_33,0.0012813855536814524,4.144972444090822e-06,,,,,,,0.39873407112623144,1.289448376805146e-05,,,,,,,,,0.5950313011796142,1.3242120681704685e-05,,,,,0.0020062945726598068,2.037368402683452e-06,0.0029469475678130493,1.185363661682909e-06,,
BRe_grain_34,0.006621020128827966,4.0893252199074265e-06,,,,,,,0.38930929801730574,1.301235310849929e-05,,,,,,,,,0.5950050714514566,1.3468918981551047e-05,,,,,0.007818081820392312,4.088689064267926e-06,0.0012465285820172118,1.1821068072231535e-06,,
BRe_grain_35,,,,,,,,,0.40695629160007735,1.206070512679783e-05,,,,,,,,,0.5889255893873859,1.216757564189085e-05,,,,,0.0011302977704350885,2.099851069452705e-06,0.0029878212421015665,1.2357583709552855e-06,,
BRe_grain_36,0.00407526150581942,3.916384347720248e-06,,,0.0003340198463337157,1.5327959360600138e-06,,,0.35091904822355363,1.177558937382378e-05,,,,,0.0013538596637757497,1.961331455659496e-06,,,0.6211421411104693,1.2671970361067099e-05,,,0.0011122641358603327,1.6807008723717084e-06,0.016508372201639282,3.90521948596175e-06,0.003971497212612784,2.2761831002153353e-06,0.0005835360999358661,1.064164017135307e-06
BRe_grain_37,,,,,,,,,0.15912426713140823,1.0251694245042021e-05,,,,,0.006181201159080416,1.8171191302027575e-06,,,0.6439700750339207,1.9347340361581648e-05,,,,,,,0.1907244566755907,1.1115644715415646e-05,,
BRe_grain_38,0.002831682508738485,1.9314791511140885e-06,,,,,,,0.27125927092498325,1.2394615211080996e-05,,,,,0.009785560847284021,2.809846603857526e-06,,,0.6297787284041819,1.5804457471447622e-05,,,,,0.0010076419400424155,1.8331026712550574e-06,0.08316654331469592,5.038403275372008e-06,0.002170572060074008,2.029041859919325e-06
BRe_grain_39,0.01144726217216614,4.026253804689689e-06,,,,,,,0.35542614392238453,1.2864841453662447e-05,,,,,0.0012019023513753163,1.952030181132621e-06,,,0.6043982333394765,1.4079244004862963e-05,,,,,0.0018163854464253485,1.943345901120057e-06,0.0212356023230183,2.3562093926845714e-06,0.004474470445153871,2.126918301367562e-06
BRe_grain_40,0.00721647821598989,4.360263586745956e-06,,,,,,,0.368158858401894,1.3104263944909395e-05,,,,,0.0018904480647544022,2.1749587434239267e-06,,,0.5935115595929877,1.417405176675519e-05,,,,,0.028091110195800937,4.242446869867813e-06,0.0007471442441985954,1.2540029573381082e-06,0.0003844012843744854,1.1630729377006133e-06
BRe_grain_41,0.011768874474717844,4.294260364725578e-06,,,,,,,0.37873124352671067,1.3071803234885613e-05,,,,,,,,,0.5899200292325232,1.3908679694636886e-05,,,,,0.017598285268568232,4.1018760639193735e-06,0.001475261061841726,1.2267240531820163e-06,0.0005063064356383325,1.1552133197905355e-06
BRe_grain_42,,,,,,,,,0.30908790533043506,1.306186583786264e-05,,,,,0.0018095743293495125,1.9132808860273976e-06,,,0.6193071156876079,1.5206163530185436e-05,,,,,,,0.06531567859301336,4.007825646157431e-06,0.004479726059594223,2.077377808450986e-06
BRe_grain_43,0.005205274802951365,4.263757851384913e-06,,,,,,,0.37734997726347,1.3122738629391934e-05,,,,,0.000850105501521051,2.074035929525512e-06,,,0.597904611034874,1.3865200725849037e-05,,,,,0.014325308767257747,3.993193315815371e-06,0.004364722629925752,2.348897274842141e-06,,
BRe_grain_44,,,,,,,,,0.39013152680326996,1.2689153072248463e-05,,,,,,,,,0.6043111081867609,1.2821024260975581e-05,,,,,0.0049171276523411285,2.023142013304834e-06,0.0006402373576278662,1.1874506280378146e-06,,
BRe_grain_45,0.0009996741446663992,4.10820913136766e-06,,,,,,,0.3844933687175362,1.2238509663410774e-05,,,,,,,,,0.6074887951206909,1.269798603394855e-05,,,,,0.006640861669481211,3.8749509119292024e-06,0.0003773003476251834,1.1465713858945973e-06,,
BRe_grain_46,0.0005843178295255309,2.093805966859121e-06,,,,,,,0.402007492978767,1.2982370912787455e-05,,,,,,,,,0.5940357039323789,1.3017397794371415e-05,,,,,0.0031272357360707208,2.0564225671894878e-06,,,0.0002452495232577779,1.1124914347546712e-06
BRe_grain_47,0.004538061298291463,4.0814851989119924e-06,,,,,,,0.37942187165542424,1.2701695113131601e-05,0.0018783068162289123,1.4385344472358616e-06,,,,,,,0.604207695523117,1.3228791133827668e-05,,,,,0.007843791760708948,3.965322142672612e-06,0.002110272946229335,1.1572654773575535e-06,,
BRe_grain_48,0.008459342530535131,3.964032693559287e-06,0.001036508777225092,1.2944769392634755e-06,,,,,0.3320303724944037,1.2229097746357023e-05,,,,,0.0012434858777508504,1.980920375116973e-06,,,0.6133037771309887,1.393271712928155e-05,,,,,0.03768120156960297,3.898402315175078e-06,0.005083435765137912,2.2326911562279644e-06,0.0011618758543557113,2.149670414498877e-06
BRe_grain_49,0.0020572768470170024,2.013219606994441e-06,,,,,,,0.30869640497838874,1.0739493240828554e-05,,,,,0.0009566014905196803,1.9243188745310503e-06,,,0.6677849735633105,1.1370186254947107e-05,,,,,0.020504743120764127,3.7409848944184448e-06,,,,
BRe_grain_50,0.010664160149428026,4.095764536371405e-06,0.001298986393083461,1.397555526153612e-06,,,,,0.3546199678825716,1.2116762710913233e-05,0.0003127394335896668,1.4465123749668206e-06,,,0.0008894953800202697,2.0343900287160404e-06,,,0.6054406256441913,1.3384106036111778e-05,,,,,0.022022455716845673,4.068536707282589e-06,0.003972899941508177,2.307401742082186e-06,0.0007786694587617478,2.166431115600817e-06
BRe_grain_51,0.00663879712193888,4.191593318826076e-06,,,,,,,0.36335027128253006,1.3193736811509243e-05,,,,,0.0017671790133641956,2.0247538738845416e-06,,,0.6066016111486757,1.4263650203198983e-05,,,,,0.0020505902669986915,1.997318841398319e-06,0.016671788810555557,2.2686743854055976e-06,0.002919762355936787,2.1589105052169824e-06
BRe_grain_52,0.0014020183413982028,4.207772247777871e-06,,,,,,,0.40136276272782473,1.3527583402728761e-05,,,,,,,,,0.5938981247484926,1.3909825687856685e-05,,,,,0.003139286239382578,2.0399232231128843e-06,0.00019780794290193956,1.2016538233517785e-06,,
