Grain,Al,Al_se,Ba,Ba_se,Ca,Ca_se,Cl,Cl_se,Cr,Cr_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
Hematite_Elba_01,,,,,,,,,,,0.39599145371846395,1.3106611265246834e-05,,,,,,,,,0.6040085462815361,1.3106611265246839e-05,,,,,,,,,,,,,,
Hematite_Elba_02,,,,,,,,,,,0.3962741969091569,1.3306366295873625e-05,,,,,,,,,0.6037258030908431,1.3306366295873606e-05,,,,,,,,,,,,,,
Illmenite_01,,,,,,,,,,,0.18669237815923717,1.158826115856787e-05,,,,,0.01877999836836232,2.8538162332994406e-06,,,0.6261955461045576,2.10698357663621e-05,,,,,,,0.16708154795737906,1.0193357767351115e-05,0.0012505294104637923,2.99514668155608e-06,,,,
Illmenite_02,,,,,,,,,,,0.18545348885745067,1.0517090953057319e-05,,,,,0.018305100319798987,2.7722162514778563e-06,0.0019755469894148295,2.1578367270178447e-06,0.6281182637534499,1.8064919495007165e-05,,,,,,,0.16614760007988552,8.730286895311789e-06,,,,,,
Magnetite_oxpuck_01,0.002212064307256193,4.2855543239981924e-06,,,,,,,,,0.41999133385038584,1.2726941913461136e-05,,,,,,,,,0.5771246831113739,1.2714105827095099e-05,,,,,0.0006719187309840431,2.044294212526572e-06,,,,,,,,
Magnetite_oxpuck_02,0.0020912445833671466,4.265251510446346e-06,,,,,,,,,0.4203270075541553,1.2393985583757813e-05,,,,,,,,,0.5766278186268108,1.2653545808524839e-05,,,,,0.0005606141264244225,2.029567621023518e-06,0.0003933151092423488,1.1931276694799625e-06,,,,,,
Goethite_01,0.003374842585967306,3.74456019105644e-06,,,0.0008251630942245905,1.2551636339736842e-06,,,,,0.2898776174958761,9.754907281964247e-06,,,,,0.0006510140965628131,1.8132334607277266e-06,,,0.6879086399951508,1.0923107906747923e-05,0.013630480319219193,3.175832881609808e-06,,,0.0037322424129992205,1.798185066560543e-06,,,,,,,,
Goethite_02,0.0033774498396600757,3.671429819980337e-06,,,0.0008260010009439504,1.258268532039631e-06,,,,,0.28982483843422135,9.786967138080373e-06,,,,,0.0006540960255200106,1.8278973502423074e-06,,,0.6879534757215533,1.0624435548834141e-05,0.01362969073335091,3.218880129851832e-06,,,0.0037344482447503992,1.8305665289249395e-06,,,,,,,,
BRc02_grain_38,0.018312544809678245,3.89550345387101e-06,,,0.0006477523931944703,1.3313742282447711e-06,,,,,0.29653366084284305,1.288253934013195e-05,,,,,0.0014684063477667243,1.910473384376773e-06,,,0.6231795591579703,1.5480151843188797e-05,,,,,0.0018536810623282106,1.8969190984498997e-06,0.05397324449733869,3.7394268002546744e-06,0.004031150888880303,2.1032977227388006e-06,,,,
BRc02_grain_39,0.0005746696102444167,1.7543989039124426e-06,,,0.00032178992400966235,1.169549572162066e-06,,,,,0.1227569062747745,9.527537226444012e-06,,,0.005112280439473233,3.928087415972367e-06,0.004189631581460902,1.740649324493187e-06,,,0.6649009996912002,2.231676967739659e-05,,,,,0.0011997383077517678,1.6939974348275993e-06,0.19880746465751212,1.3533905187751673e-05,0.0021365195135731505,2.7698542544484966e-06,,,,
BRc02_grain_40,,,,,,,,,,,0.1541281458374505,9.73706039141288e-06,,,,,,,,,0.6674449117536827,1.7614461473114097e-05,,,,,0.0006400447946027005,1.675710227342035e-06,0.1777868976142641,1.0090102471774172e-05,,,,,,
BRc02_grain_41,0.0054646061362205196,3.6272549161652908e-06,,,0.00456569214461901,1.2649163344992098e-06,,,,,0.27059923226596655,1.1968039166815168e-05,,,,,0.0028345164897157797,1.7928517304849605e-06,,,0.6420350028331827,1.54086324307357e-05,0.0007053311640946442,1.5643739370038062e-06,,,0.008165906846475243,3.6038569214825448e-06,0.061878570504259926,4.514314463229754e-06,0.003751141615465607,2.0140917770730943e-06,,,,
BRc02_grain_42,0.003602228202502878,4.4208319279226895e-06,,,0.0004847522686498585,1.4382445449810273e-06,,,,,0.40081410061238437,1.3687413092897989e-05,,,,,,,,,0.5823593544008606,1.4346960418857271e-05,,,,,0.007601034261464138,4.234447528733895e-06,0.004056320722034611,2.4992653099415108e-06,0.0010822095321035216,2.3231275990182287e-06,,,,
BRc02_grain_43,0.008600141697589705,3.996483742613079e-06,,,0.0006751359607486478,1.3665716458112794e-06,,,,,0.34168624393335534,1.2693779994389381e-05,0.0003076507316647876,1.3923320957257974e-06,,,0.0017573411058937486,1.998691262914319e-06,,,0.6057085403731651,1.4319391969816803e-05,,,,,0.0065464467369445375,1.933886260618941e-06,0.03022176580892883,3.4823662098341695e-06,0.004496733651709331,2.1177688466802332e-06,,,,
BRc02_grain_44,0.004010716126556171,4.443551139911104e-06,,,0.0004915230851778547,1.506168666436337e-06,,,,,0.4048194040404088,1.3849874863320632e-05,,,,,,,,,0.5788604463471227,1.4684824291140317e-05,,,,,0.01028351230023488,4.25966720313466e-06,0.0008910012546749258,1.2823225886540096e-06,0.000643396845824713,1.172256659287021e-06,,,,
