Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
Hematite_Elba_01,,,,,,,0.407915189976358,9.860045925181368e-06,,,,,,,,,0.592084810023642,9.860045925181386e-06,,,,,,,,,,
Hematite_Elba_02,,,,,,,0.4072759909048262,9.647529696107146e-06,,,,,,,,,0.5921506473107587,9.684247869344549e-06,,,,,0.0005733617844150876,2.0754496514857982e-06,,,,
Illmentite_01,,,,,,,0.19263490905656885,1.1379562696239983e-05,,,,,0.019164335149736346,3.196759634677936e-06,0.002180800244429221,2.42709939493712e-06,0.6140627795952999,2.0256378912500237e-05,,,,,,,0.17195717595396573,1.0082713078897383e-05,,
Illmentite_02,,,,,,,0.19060550597635156,1.139850354955925e-05,,,,,0.019310058843178907,3.1677087965386307e-06,0.002204839825813075,2.4684774689060455e-06,0.614348419555251,1.982681352159492e-05,,,,,,,0.17353117579940544,9.792841880122514e-06,,
Magnetite_oxpuck_01,0.002333569265478364,4.684480481975624e-06,,,,,0.4313421737417384,1.3691559833069315e-05,,,,,,,,,0.5649414706805596,1.3988271755813183e-05,,,,,0.0008736331640106556,2.2351633677748505e-06,0.0005091531482130796,1.348081229062597e-06,,
Magnetite_oxpuck_02,0.0023255316896257615,4.5824062879105214e-06,,,,,0.4299157490713491,1.3687682711904277e-05,,,,,,,,,0.5665997543506953,1.39000088080096e-05,,,,,0.0008685730504535849,2.1930351055714336e-06,0.00029039183787616757,1.3171914629893072e-06,,
Goethite_01,0.0017965982027030156,2.0968549277732825e-06,0.0009078791849299807,1.3781423410774986e-06,,,0.2967069270046692,9.796374136008845e-06,,,,,,,,,0.6826386701289194,1.0427518794436308e-05,0.013730148034512784,3.5874855366468613e-06,,,0.0042197774442655715,1.9590981189087763e-06,,,,
Goethite_02,0.002253271275064246,2.05257487189974e-06,0.0008335371807659888,1.376431085030603e-06,,,0.29748730319732225,9.808072572063468e-06,,,,,,,,,0.6814894121257178,1.0548825299287426e-05,0.01393084446807785,3.552478006807276e-06,,,0.004005631753051916,2.002793396530961e-06,,,,
LRa02_grain_01,0.0029032655170270127,4.568349033943449e-06,,,,,0.39193042526244193,1.266502617037724e-05,0.0005227690108040096,1.5890090732680928e-06,,,,,,,0.5916514042195128,1.3472857179854438e-05,,,,,0.008232371334259195,4.396829318374231e-06,0.0047597646559551015,2.5918618827059377e-06,,
LRa02_grain_02,,,,,,,0.4087076006547745,1.3137143174786576e-05,,,,,,,,,0.5884446366401856,1.3133202990342737e-05,,,,,0.002484151227169903,2.25996827048519e-06,0.0003636114778700304,1.3286073956748323e-06,,
