Grain,Fe,Fe_se,O,O_se,Ti,Ti_se
BRc_grain_02,0.4050639753328049,0.0056434611870052,0.5925321641851444,0.0056455876509037,0.0024038604820506,0.0002975366154593
BRc_grain_04,0.2778172497114423,0.0101966269299151,0.630183431798981,0.0131571328486002,0.0919993184895767,0.004191507517804
BRc_grain_07,0.3598358371235571,0.0061756341746659,0.6360593232902676,0.0061712618506358,0.004104839586175,0.0005293224710893
BRc_grain_09,0.2949920155497441,0.0071637305291789,0.6285989902301523,0.0067096022593322,0.0764089942201036,0.0034847676405333
BRc_grain_10,0.3058758786598883,0.0042352616504977,0.6913915427148051,0.0041642401131471,0.0027325786253066,0.0003613813179285
BRc_grain_12,0.3973014904180963,0.0075632032069697,0.6001830450935267,0.0075727949607044,0.002515464488377,0.0003492831928217
BRc_grain_13,0.3161572479657153,0.006069883028371,0.6820720503713037,0.0060674627342468,0.0017707016629809,0.0003023568854648
BRc_grain_14,0.1567312255208984,0.005906324356706,0.6634446904019371,0.0081483177524115,0.1798240840771644,0.00654615978763
BRc_grain_15,0.3794610024316832,0.006145768488727,0.6170391740547141,0.0061777145133354,0.0034998235136025,0.0004946382195003
BRc_grain_16,0.3598206408035861,0.0067399228126902,0.6129412006583232,0.006624298485098,0.0272381585380906,0.0012940996823124
BRc_grain_17,0.1464329503042608,0.0051936431434226,0.6395225259534536,0.0087711127702184,0.2140445237422857,0.0048225586954712
BRc_grain_19,0.3011144327943638,0.0062161222225731,0.6915368356476744,0.0060815321556539,0.0073487315579617,0.0007520824808059
BRc_grain_20,0.1363148443284088,0.0039540203242157,0.6558938572353736,0.0083358165594968,0.2077912984362177,0.0054879937673305
BRc_grain_22,0.3696131762086759,0.0053528759002595,0.6279350039419956,0.0053364969394324,0.0024518198493284,0.000296678661201
BRc_grain_23,0.415091944200703,0.009912889861621,0.5782966444702596,0.010053980525374,0.0066114113290373,0.0006898523797775
BRc_grain_24,0.4292577013595815,0.0106007074656079,0.5680770573594832,0.0105982587871972,0.0026652412809353,0.0003923934813645
BRc_grain_28,0.3725907258936548,0.0059290959792327,0.6072489755164927,0.0058153442172682,0.0201602985898524,0.0011447694744705
BRc_grain_29,0.143946762082945,0.0055569478738505,0.6420418138807058,0.0111185559474988,0.2140114240363491,0.0062631526188378
BRc_grain_31,0.3566139959342764,0.0066439955659106,0.6392539083835058,0.0065810854879804,0.0041320956822176,0.0004584196337791
BRc_grain_32,0.2221312698855442,0.0070758376343488,0.64078361296062,0.0097925066421176,0.1370851171538356,0.0073655470790354
BRc_grain_33,0.3427729267354161,0.0066281726078229,0.6505418874023279,0.0066128834891708,0.006685185862256,0.0005313975099475
BRc_grain_37,0.385743926696302,0.0056533738314858,0.6086483867791155,0.0056032390282569,0.0056076865245826,0.0005611724590902
BRc_grain_40,0.3327694688621267,0.006481121946631,0.655488004374134,0.0063098257275496,0.0117425267637392,0.0008901119410037
BRc_grain_42,0.1552936065637818,0.0028150112422328,0.6421330060326236,0.0047643499597514,0.2025733874035946,0.0027059327700081
BRc_grain_43,0.3987889088070377,0.0068685059665132,0.5977953403449976,0.0068816472233031,0.0034157508479647,0.000436014373617
BRc_grain_45,0.4148221983238168,0.0030378863495975,0.5827232689995475,0.0030377995844181,0.0024545326766356,0.0001283189920327
