Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Sr,Sr_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
Hematite_Senin_01,,,,,,,0.3947697413757883,1.3015841624186978e-05,,,,,,,,,0.6044304356641592,1.2983702934158319e-05,,,,,0.0007998229600526175,2.8795685080367977e-06,,,,,,,,,,
Hematite_Senin_02,0.0012618135371715664,3.3025942275549326e-06,,,,,0.39190988795985415,1.3278914058872358e-05,,,,,,,,,0.605710837306898,1.3572794072700404e-05,,,,,,,,,0.00032920856226698796,1.6284659380523382e-06,,,0.0007882526338092293,2.8663104568321737e-06,,
Hematite_Senin_03,,,,,,,0.3930551908416625,1.3062687337133791e-05,,,,,,,,,0.6061978280545022,1.3142552584310207e-05,,,,,,,0.0007469811038352888,2.3197504394963326e-06,,,,,,,,
Illmenite_01,,,,,,,0.18212311053982125,1.1653284868132665e-05,,,,,0.019020137792170565,3.1852003588037007e-06,0.0021096041607481715,2.036192300683229e-06,0.6282101374791426,2.0971218528821496e-05,,,,,,,,,0.1685370100281174,1.0417636479161297e-05,,,,,,
Illmenite_02,,,,,,,0.1822691376518134,1.2004841246921577e-05,,,,,0.018899783366797467,3.2892296274947594e-06,0.0021718401044272,2.074856700240812e-06,0.6266327837802642,2.225636195209655e-05,,,,,0.0006119178525611993,2.2308681866044623e-06,,,0.16794017404218073,1.0967915865683478e-05,0.0014743632019558301,2.7490650623523748e-06,,,,
Magnetite_ph_01,0.0015747086055148264,3.5550577813835493e-06,,,,,0.41796922668013137,1.3777369520435257e-05,,,,,,,,,0.579753184943178,1.393764359093434e-05,,,,,0.0007028797711758677,2.7991279201751296e-06,,,,,,,,,,
Magnetite_ph_02,0.001539588014472067,3.443267541404504e-06,,,,,0.41926281575891333,1.383836325104581e-05,,,,,,,,,0.5791975962266145,1.3948081886929857e-05,,,,,,,,,,,,,,,,
Magnetite_ph_03,0.0018536904625460148,3.525214104425511e-06,,,,,0.42024549654064264,1.3896911381808982e-05,,,,,,,,,0.5779008129968114,1.4039875590607959e-05,,,,,,,,,,,,,,,,
Goethite_01,0.0027058904457067795,2.880263092835901e-06,0.0008981071888289193,1.4605955612631915e-06,,,0.2885655106829994,1.0355831676757502e-05,,,,,0.0007058873757822394,1.806209690340364e-06,,,0.6893834008603857,1.1227874252136076e-05,0.013553505524837276,2.793480775368528e-06,,,0.004187697921459608,2.567725316222694e-06,,,,,,,,,,
Goethite_02,0.0025640767729846734,2.9196756976405386e-06,0.0008412884730743085,1.4568480425912137e-06,,,0.28824479990036644,1.0235009009053919e-05,,,,,0.0007429203435173659,1.7894845729553444e-06,,,0.6897059724914861,1.1016053599306738e-05,0.013490633713798423,2.8616184044764104e-06,,,0.004410308304772626,2.5351838930371024e-06,,,,,,,,,,
Goethite_03,0.0025618565891205717,2.8803989582942027e-06,0.0010208102602222108,1.4454594292818272e-06,,,0.28764778764334825,1.0285392814491638e-05,,,,,,,,,0.6906926522873006,1.1103098614541397e-05,0.013554104328183224,2.793516918528991e-06,,,0.004522788891825116,2.506227277857638e-06,,,,,,,,,,
LRa02_grain_71,0.005902120944700675,3.5282966196312787e-06,0.0003366645379604964,1.586760106422429e-06,,,0.3634550875049659,1.2393186747348606e-05,,,,,0.0010244005526510442,2.0433809135474335e-06,,,0.618244378063896,1.2954333532559906e-05,,,,,0.010456063099053371,3.2848527649616897e-06,,,0.0005812852967725623,1.588414427590694e-06,,,,,,
LRa02_grain_72,0.003519125878998878,3.504378434527907e-06,0.0006551436661495444,1.5827418329410668e-06,,,0.35976718174995365,1.279723183410925e-05,,,,,0.0009555288274792767,2.080183943270616e-06,,,0.6209293925664264,1.340470932351433e-05,,,,,0.01130702972619742,3.3780466383652907e-06,,,0.0021705985551620896,1.718226974354361e-06,0.0006959990296326994,1.6486467604353758e-06,,,,
LRa02_grain_73,,,,,,,0.39983057138021605,1.3344386408852052e-05,,,,,,,,,0.5982524415546265,1.3354828250827885e-05,,,,,,,,,,,0.0019169870651574341,1.7887681873381572e-06,,,,
LRa02_grain_74,0.0007440595980520363,3.3125712844897857e-06,0.00033773440884467395,1.6128986740460776e-06,,,0.3810099434211394,1.35436266315083e-05,,,,,,,,,0.6100364358598083,1.3840153466566747e-05,,,,,0.007401704825844653,3.2257370641586815e-06,,,0.00047012188631092704,1.6269285367553999e-06,,,,,,
LRa02_grain_75,0.0008723460801755664,3.062092978588559e-06,,,,,0.2765151657940298,1.3861235438906814e-05,,,,,0.0052653534799781965,2.3326831321111493e-06,,,0.6238163732709601,1.8102898186352968e-05,,,,,0.0008835092434724321,2.4824383172021373e-06,,,0.08886399253540715,5.823477892663015e-06,0.003783259595976745,2.541707203596741e-06,,,,
LRa02_grain_76,0.00316578458713314,3.6201329823672827e-06,0.00030042579053116543,1.679600863181248e-06,0.003572223957163498,2.0765179531601224e-06,0.387696334317968,1.4067321540723146e-05,,,,,,,,,0.5945271732186541,1.4617269519844916e-05,,,,,0.0007367418399625709,2.856854910014232e-06,,,0.0036369329521291197,1.9098639240833e-06,0.006364383336458264,2.1022891596797413e-06,,,,
LRa02_grain_77,0.0011544054865420233,3.3131892670788503e-06,,,,,0.3797702221912877,1.2678812449527296e-05,,,,,,,,,0.6095051664055998,1.3085715044417801e-05,,,,,0.007933113152496748,3.1617919871384376e-06,,,0.0012621627371825514,1.6870008599072036e-06,0.0003749300268911066,1.6427166379496938e-06,,,,
LRa02_grain_78,0.005269802800527356,3.3928117551212523e-06,0.0005649706281014983,1.4930139792808093e-06,,,0.32971005845242346,1.1745142091659746e-05,,,,,0.000982845448852168,1.9070066945822547e-06,,,0.6503200552808593,1.2549709929814272e-05,,,,,0.009849894836889332,3.1511546751733237e-06,,,0.0026186979580854965,1.6486089705586118e-06,0.000683674594261314,1.5249174323512243e-06,,,,
LRa02_grain_79,0.005062489472141953,3.6045972445104508e-06,0.00065974347864781,1.6024563437409531e-06,,,0.35529750193687004,1.2907726547655733e-05,,,,,0.0010998913008259646,2.0193363036263148e-06,,,0.6201427672690036,1.3563541737416549e-05,,,,,0.010158809843478462,3.1969989192618366e-06,,,0.007261408860957806,2.0246364194336666e-06,0.00031738783807432774,1.6319925005948538e-06,,,,
LRa02_grain_80,0.0009058648194759076,3.2836754931688543e-06,,,,,0.3799223807568812,1.26284819467345e-05,,,,,,,,,0.6137361441304152,1.299068667980298e-05,,,,,0.005435610293227638,3.0472274006920663e-06,,,,,,,,,,
LRa02_grain_81,,,0.0002790466787098664,1.217192911502991e-06,,,0.10419223771898074,8.000558481581254e-06,,,,,0.005486912486397736,2.0588770246738354e-06,,,0.6884780933539808,1.9590102255593147e-05,,,,,0.0007868997777703177,1.934777655011128e-06,,,0.2007768099841606,1.2953644939251277e-05,,,,,,
LRa02_grain_82,0.0003894008357315225,2.366261561777244e-06,0.0002978400293667932,1.2371246255160045e-06,,,0.12766435642637342,9.252026570530924e-06,,,,,,,,,0.6744696707843361,2.0189510058293893e-05,,,,,0.0010223296843936346,2.0020479346686047e-06,,,0.1961564022397985,1.2574284863785452e-05,,,,,,
