Hematite_370_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Factory Standard,Standardization Date,,,,
O,EDS,K series,28.69,0.16305,31.03,0.07,60.53,No,12/18/24 23:25,,,,
Fe,EDS,K series,70.58,0.65945,70.64,0.1,39.47,No,12/18/24 23:25,,,,
Total,,,,,101.67,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hematite_370_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Factory Standard,Standardization Date,,,,
O,EDS,K series,29.24,0.16618,31.56,0.09,60.9,No,12/18/24 23:25,,,,
Fe,EDS,K series,70.64,0.66001,70.75,0.12,39.1,No,12/18/24 23:25,,,,
Total,,,,,102.31,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mag_395,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Factory Standard,Standardization Date,,,,
O,EDS,K series,26.24,0.14913,28.86,0.07,57.78,No,12/18/24 23:25,,,,
Al,EDS,K series,0.09,0.00052,0.15,0.02,0.18,No,12/9/24 21:18,,,,
Si,EDS,K series,0.06,0.00034,0.07,0.01,0.08,No,12/9/24 20:00,,,,
Fe,EDS,K series,73.45,0.68632,73.17,0.11,41.97,No,12/18/24 23:25,,,,
Total,,,,,102.24,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Illmenite_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Factory Standard,Standardization Date,,,,
O,EDS,K series,11.1,0.0631,36.55,0.15,62.86,No,12/18/24 23:25,,,,
Ti,EDS,K series,30.32,0.27892,29.37,0.05,16.87,No,12/9/24 20:22,,,,
Mn,EDS,K series,3.4,0.03214,3.76,0.03,1.88,No,12/9/24 20:20,,,,
Fe,EDS,K series,34.84,0.32555,36.9,0.08,18.18,No,12/18/24 23:25,,,,
Nb,EDS,L series,0.52,0.00521,0.69,0.04,0.2,Yes,,,,,
Total,,,,,107.28,,100,,,,,,
,,,,,,,,,,,,,
Illmenite_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,11.16,0.06341,36.55,0.15,62.82,,,,Hematite,No,12/18/24 23:25
Ti,EDS,K series,30.15,0.27729,29.2,0.05,16.76,,,,TiO2,No,12/9/24 20:22
Mn,EDS,K series,3.42,0.03241,3.79,0.03,1.9,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,35.1,0.32799,37.16,0.08,18.3,,,,Hematite,No,12/18/24 23:25
Nb,EDS,L series,0.56,0.0056,0.74,0.04,0.22,,,,Nb,Yes,
Total,,,,,107.44,,100,,,,,,
,,,,,,,,,,,,,
Illmenite_03,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,10.79,0.06132,35.61,0.15,62.24,,,,Hematite,No,12/18/24 23:25
Ti,EDS,K series,30.18,0.27761,29.2,0.05,17.04,,,,TiO2,No,12/9/24 20:22
Mn,EDS,K series,3.45,0.03263,3.81,0.03,1.94,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,35.04,0.32739,37.06,0.08,18.56,,,,Hematite,No,12/18/24 23:25
Nb,EDS,L series,0.54,0.00541,0.72,0.04,0.22,,,,Nb,Yes,
Total,,,,,106.4,,100,,,,,,
,,,,,,,,,,,,,
Hematite_Elba_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,29.22,0.16605,31.64,0.08,60.5,,,,Hematite,No,12/18/24 23:25
Si,EDS,K series,0.06,0.00031,0.06,0.01,0.07,,,,Forsterite,No,12/9/24 20:00
Fe,EDS,K series,71.92,0.67203,71.99,0.11,39.44,,,,Hematite,No,12/18/24 23:25
Total,,,,,103.69,,100,,,,,,
,,,,,,,,,,,,,
Hematite_Elba_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,29.35,0.16679,31.77,0.09,60.49,,,,Hematite,No,12/18/24 23:25
Si,EDS,K series,0.05,0.00026,0.05,0.02,0.06,,,,Forsterite,No,12/9/24 20:00
Fe,EDS,K series,72.26,0.67514,72.32,0.12,39.45,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.15,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Magnetite_oxpuck_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.29,0.14943,28.95,0.07,57.55,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.13,0.00071,0.21,0.02,0.24,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.05,0.00027,0.06,0.01,0.06,,,,Forsterite,No,12/9/24 20:00
Fe,EDS,K series,74.32,0.69443,74.01,0.11,42.14,,,,Hematite,No,12/18/24 23:25
Total,,,,,103.22,,100,,,,,,
,,,,,,,,,,,,,
Magnetite_oxpuck_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.2,0.14892,28.98,0.07,57.49,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.13,0.00073,0.21,0.02,0.25,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.06,0.00031,0.06,0.01,0.07,,,,Forsterite,No,12/9/24 20:00
Ti,EDS,K series,0.08,0.0007,0.07,0.01,0.05,,,,TiO2,No,12/9/24 20:22
Fe,EDS,K series,74.48,0.69593,74.17,0.11,42.15,,,,Hematite,No,12/18/24 23:25
Total,,,,,103.49,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hematite_Elba_03,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,28.59,0.16245,31.03,0.07,59.86,,,,Hematite,No,12/18/24 23:25
Fe,EDS,K series,72.65,0.67883,72.62,0.11,40.14,,,,Hematite,No,12/18/24 23:25
Total,,,,,103.65,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hematite_Elba_04,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,28.63,0.16273,31.06,0.07,59.98,,,,Hematite,No,12/18/24 23:25
Fe,EDS,K series,72.35,0.676,72.33,0.11,40.02,,,,Hematite,No,12/18/24 23:25
Total,,,,,103.39,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Illmenite_04,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,11.17,0.06349,36.76,0.17,62.76,,,,Hematite,No,12/18/24 23:25
Ti,EDS,K series,30.29,0.27857,29.33,0.05,16.72,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.25,0.00252,0.26,0.03,0.14,,,,V,Yes,
Mn,EDS,K series,3.43,0.03248,3.8,0.03,1.89,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,35.31,0.32994,37.39,0.08,18.28,,,,Hematite,No,12/18/24 23:25
Nb,EDS,L series,0.53,0.00528,0.7,0.04,0.21,,,,Nb,Yes,
Total,,,,,108.24,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Illmenite_05,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,11.18,0.06355,36.62,0.17,62.71,,,,Hematite,No,12/18/24 23:25
Ti,EDS,K series,30.07,0.27658,29.11,0.05,16.65,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.21,0.00213,0.22,0.03,0.12,,,,V,Yes,
Mn,EDS,K series,3.35,0.03172,3.71,0.03,1.85,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,35.54,0.33212,37.62,0.08,18.46,,,,Hematite,No,12/18/24 23:25
Nb,EDS,L series,0.52,0.00525,0.7,0.04,0.21,,,,Nb,Yes,
Total,,,,,107.98,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Magnetite_oxpuck_03,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.63,0.15135,29.38,0.07,57.63,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.12,0.00066,0.19,0.02,0.22,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.05,0.00028,0.06,0.01,0.07,,,,Forsterite,No,12/9/24 20:00
Ti,EDS,K series,0.05,0.00043,0.04,0.01,0.03,,,,TiO2,No,12/9/24 20:22
Fe,EDS,K series,75.14,0.7021,74.84,0.11,42.06,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.51,,100,,,,,,
,,,,,,,,,,,,,
Magnetite_oxpuck_04,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.67,0.15159,29.33,0.07,57.68,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.12,0.00068,0.2,0.02,0.23,,,,Nepheline,No,12/9/24 21:18
Fe,EDS,K series,75.02,0.70094,74.71,0.11,42.09,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.23,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Goethite_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,37.37,0.21237,40.13,0.08,68.85,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.15,0.00086,0.23,0.01,0.24,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.35,0.00181,0.36,0.01,0.35,,,,Forsterite,No,12/9/24 20:00
P,EDS,K series,1.27,0.01013,1.67,0.02,1.48,,,,Chlorapatite,No,12/9/24 20:13
Ca,EDS,K series,0.14,0.0012,0.12,0.01,0.09,,,,Diopside,No,12/9/24 20:18
Fe,EDS,K series,57.59,0.5381,59.01,0.1,29,,,,Hematite,No,12/18/24 23:25
Total,,,,,101.52,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Goethite_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,37.29,0.2119,40.06,0.08,68.76,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.12,0.00068,0.19,0.01,0.19,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.38,0.00195,0.39,0.01,0.38,,,,Forsterite,No,12/9/24 20:00
P,EDS,K series,1.25,0.00996,1.64,0.02,1.45,,,,Chlorapatite,No,12/9/24 20:13
Ca,EDS,K series,0.15,0.00131,0.14,0.01,0.09,,,,Diopside,No,12/9/24 20:18
