Hematite Elba,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,43,1.53,0.14468,28.09,0.1,57.85,,,,,SiO2,Yes,
Al,EDS,K series,0.29,0.48,0.00205,0.59,0.02,0.72,,,,,Al2O3,Yes,
Si,EDS,K series,0.05,0.93,0.00028,0.06,0.02,0.07,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0,1,-0.00004,0,0.02,0,,,,,Ti,Yes,
Fe,EDS,K series,72.27,1.03,0.65694,70.11,0.15,41.37,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,98.84,,100,,,,,,,
,,,,,,,,,,,,,,,
Hematite Elba,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,43.16,1.53,0.14523,28.2,0.1,57.89,,,,,SiO2,Yes,
Al,EDS,K series,0.29,0.48,0.00206,0.59,0.02,0.72,,,,,Al2O3,Yes,
Si,EDS,K series,0.06,0.93,0.00029,0.06,0.02,0.07,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.01,1,0.00006,0.01,0.02,0,,,,,Ti,Yes,
Fe,EDS,K series,72.39,1.03,0.65803,70.23,0.15,41.31,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,99.09,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Illmenite,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,16.45,0.5,0.05535,32.82,0.2,60.56,,,,,SiO2,Yes,
Al,EDS,K series,0.1,0.55,0.00075,0.19,0.02,0.21,,,,,Al2O3,Yes,
Si,EDS,K series,0.06,1.05,0.00033,0.06,0.02,0.06,,,,,Forsterite,No,8/13/24 20:00
