Hematite_Elba_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,29.37,0.16689,31.78,0.08,60.4,,,,Hematite,No,12/18/24 23:25
Fe,EDS,K series,72.68,0.67914,72.73,0.11,39.6,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.51,,100,,,,,,
,,,,,,,,,,,,,
Hematite_Elba_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,29.3,0.16654,31.72,0.08,60.37,,,,Hematite,No,12/18/24 23:25
Fe,EDS,K series,72.64,0.67874,72.68,0.11,39.63,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.4,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Illmenite_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,11.15,0.06335,36.23,0.17,62.63,,,,Hematite,No,12/18/24 23:25
Ti,EDS,K series,29.94,0.2754,28.92,0.05,16.7,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.22,0.0022,0.23,0.03,0.12,,,,V,Yes,
Mn,EDS,K series,3.37,0.03191,3.73,0.03,1.88,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,35.62,0.33282,37.7,0.08,18.67,,,,Hematite,No,12/18/24 23:25
Total,,,,,106.82,,100,,,,,,
,,,,,,,,,,,,,
Illmenite_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,11.29,0.06417,36.67,0.15,62.82,,,,Hematite,No,12/18/24 23:25
Ti,EDS,K series,29.98,0.27574,29.02,0.05,16.6,,,,TiO2,No,12/9/24 20:22
Mn,EDS,K series,3.31,0.03136,3.67,0.03,1.83,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,35.71,0.33366,37.79,0.08,18.54,,,,Hematite,No,12/18/24 23:25
Nb,EDS,L series,0.51,0.00507,0.67,0.04,0.2,,,,Nb,Yes,
Total,,,,,107.82,,100,,,,,,
,,,,,,,,,,,,,
Magnetite_oxpuck_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.69,0.1517,29.36,0.07,57.72,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.11,0.00065,0.19,0.02,0.22,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.05,0.00028,0.06,0.01,0.06,,,,Forsterite,No,12/9/24 20:00
Fe,EDS,K series,74.87,0.69961,74.58,0.11,42,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.19,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Magnetite_oxpuck_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.62,0.15127,29.38,0.07,57.66,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.11,0.00062,0.18,0.02,0.21,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.05,0.00026,0.05,0.01,0.06,,,,Forsterite,No,12/9/24 20:00
Ti,EDS,K series,0.06,0.00058,0.06,0.01,0.04,,,,TiO2,No,12/9/24 20:22
Fe,EDS,K series,75.06,0.70137,74.76,0.11,42.03,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.44,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Goethite_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,37.19,0.21134,39.88,0.08,68.79,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.22,0.00122,0.33,0.02,0.34,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.37,0.00193,0.38,0.01,0.38,,,,Forsterite,No,12/9/24 20:00
P,EDS,K series,1.17,0.00929,1.53,0.02,1.36,,,,Chlorapatite,No,12/9/24 20:13
Ca,EDS,K series,0.13,0.00112,0.12,0.01,0.08,,,,Diopside,No,12/9/24 20:18
Mn,EDS,K series,0.13,0.00118,0.13,0.02,0.07,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,57.25,0.53496,58.65,0.1,28.98,,,,Hematite,No,12/18/24 23:25
Total,,,,,101.02,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Goethite_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,37.19,0.21134,39.88,0.08,68.79,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.22,0.00122,0.33,0.02,0.34,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.37,0.00193,0.38,0.01,0.38,,,,Forsterite,No,12/9/24 20:00
P,EDS,K series,1.17,0.00929,1.53,0.02,1.36,,,,Chlorapatite,No,12/9/24 20:13
Ca,EDS,K series,0.13,0.00112,0.12,0.01,0.08,,,,Diopside,No,12/9/24 20:18
Mn,EDS,K series,0.13,0.00118,0.13,0.02,0.07,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,57.25,0.53496,58.65,0.1,28.98,,,,Hematite,No,12/18/24 23:25
Total,,,,,101.02,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_38,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,19.59,0.11133,34.5,0.11,62.32,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,1.12,0.00636,1.71,0.02,1.83,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.17,0.00088,0.18,0.01,0.18,,,,Forsterite,No,12/9/24 20:00
Ca,EDS,K series,0.1,0.00085,0.09,0.01,0.06,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,9.4,0.08647,8.94,0.03,5.4,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.71,0.00707,0.71,0.02,0.4,,,,V,Yes,
Mn,EDS,K series,0.26,0.00249,0.28,0.02,0.15,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,55.8,0.52141,57.3,0.1,29.66,,,,Hematite,No,12/18/24 23:25
Total,,,,,103.71,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_39,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,10.26,0.05832,41.14,0.21,66.51,,,,Hematite,No,12/18/24 23:25
Mg,EDS,K series,0.25,0.00145,0.48,0.02,0.51,,,,Forsterite,No,12/9/24 20:00
Al,EDS,K series,0.05,0.00027,0.06,0.01,0.06,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.14,0.00072,0.13,0.01,0.12,,,,Forsterite,No,12/9/24 20:00
Ca,EDS,K series,0.06,0.00049,0.05,0.01,0.03,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,37.33,0.34332,36.8,0.06,19.87,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.39,0.0039,0.42,0.03,0.21,,,,V,Yes,
Mn,EDS,K series,0.78,0.00736,0.89,0.02,0.42,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,24.41,0.22806,26.51,0.07,12.28,,,,Hematite,No,12/18/24 23:25
Total,,,,,106.48,,100,,,,,,
,,,,,,,,,,,,,
BRc02_grain_40,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,11.7,0.06647,41.68,0.17,66.75,,,,Hematite,No,12/18/24 23:25
Si,EDS,K series,0.07,0.00038,0.07,0.01,0.06,,,,Forsterite,No,12/9/24 20:00
Ti,EDS,K series,33.87,0.31149,33.22,0.06,17.77,,,,TiO2,No,12/9/24 20:22
Fe,EDS,K series,31.22,0.29173,33.6,0.08,15.42,,,,Hematite,No,12/18/24 23:25
Total,,,,,108.57,,100,,,,,,
,,,,,,,,,,,,,
BRc02_grain_41,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,19.75,0.11223,37.63,0.12,64.21,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.36,0.00202,0.54,0.02,0.54,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.84,0.00436,0.84,0.02,0.82,,,,Forsterite,No,12/9/24 20:00
P,EDS,K series,0.06,0.00047,0.08,0.01,0.07,,,,Chlorapatite,No,12/9/24 20:13
Ca,EDS,K series,0.77,0.00661,0.67,0.01,0.45,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,11.3,0.10392,10.85,0.04,6.18,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.69,0.00688,0.7,0.02,0.38,,,,V,Yes,
Mn,EDS,K series,0.53,0.00502,0.57,0.02,0.28,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,53.52,0.50004,55.36,0.09,27.06,,,,Hematite,No,12/18/24 23:25
Total,,,,,107.24,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_42,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,24.74,0.14061,28.79,0.08,58.23,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.19,0.00107,0.3,0.02,0.37,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.63,0.00324,0.66,0.02,0.77,,,,Forsterite,No,12/9/24 20:00
Ca,EDS,K series,0.07,0.00059,0.06,0.01,0.05,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,0.65,0.00601,0.6,0.02,0.41,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.17,0.00173,0.17,0.02,0.11,,,,V,Yes,
Fe,EDS,K series,69.14,0.64604,69.17,0.1,40.08,,,,Hematite,No,12/18/24 23:25
Total,,,,,99.76,,100,,,,,,
,,,,,,,,,,,,,
BRc02_grain_43,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,21.72,0.12344,32.15,0.09,60.57,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.49,0.00279,0.77,0.02,0.86,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.59,0.00304,0.61,0.01,0.65,,,,Forsterite,No,12/9/24 20:00
K,EDS,K series,0.05,0.00038,0.04,0.01,0.03,,,,Orthoclase,No,12/9/24 20:17
Ca,EDS,K series,0.1,0.00085,0.09,0.01,0.06,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,5.1,0.04695,4.8,0.03,3.02,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.76,0.00764,0.76,0.02,0.45,,,,V,Yes,
Mn,EDS,K series,0.31,0.00289,0.32,0.02,0.18,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,62.38,0.5829,63.3,0.1,34.17,,,,Hematite,No,12/18/24 23:25
Total,,,,,102.83,,100,,,,,,
,,,,,,,,,,,,,
BRc02_grain_44,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,24.9,0.14149,28.22,0.08,57.89,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.2,0.00114,0.33,0.02,0.4,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.82,0.00427,0.88,0.02,1.02,,,,Forsterite,No,12/9/24 20:00
