Hematite_Senin_01,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,27.88,0.15858,30.2261,0.078,60.4438,,,,,hematite_elba,No,9/30/2025 17:52
Si,EDS,K series,0.06,0.00034,0.0705,0.0137,0.0803,,,,,Nepheline,No,9/24/2025 22:58
Fe,EDS,K series,70.77,0.64331,68.9081,0.1041,39.4759,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,99.2047,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hematite_Senin_02,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,27.8,0.15813,30.4543,0.0799,60.5713,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.07,0.00038,0.1071,0.0154,0.1264,,,,,Nepheline,No,9/24/2025 22:58
Ti,EDS,K series,0.05,0.00049,0.0494,0.0135,0.0328,,,,,TiO2,No,5/13/2025 18:15
Fe,EDS,K series,70.67,0.64239,68.7811,0.104,39.1904,,,,,Fayalite,No,9/24/2025 22:59
W,EDS,L series,0.31,0.00311,0.457,0.0895,0.0791,,,,,W,Yes,
Total,,,,,99.8491,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hematite_Senin_03,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,27.95,0.15898,30.4241,0.0783,60.6201,,,,,hematite_elba,No,9/30/2025 17:52
Fe,EDS,K series,70.71,0.6428,68.8588,0.1041,39.3053,,,,,Fayalite,No,9/24/2025 22:59
Sr,EDS,L series,0.13,0.00113,0.2052,0.0347,0.0747,,,,,SrF2,Yes,
Total,,,,,99.4881,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Illmenite_01,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,10.64,0.06053,35.0139,0.1606,62.8302,,,,,hematite_elba,No,9/30/2025 17:52
Ti,EDS,K series,29.02,0.26689,28.1034,0.0521,16.844,,,,,TiO2,No,5/13/2025 18:15
Mn,EDS,K series,3.29,0.0311,3.6394,0.0322,1.9019,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,34.39,0.31261,35.4289,0.0796,18.2129,,,,,Fayalite,No,9/24/2025 22:59
Nb,EDS,L series,0.51,0.00515,0.6829,0.0362,0.211,,,,,Nb,Yes,
Total,,,,,102.8686,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Illmenite_02,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,10.54,0.05996,34.8563,0.1761,62.6694,,,,,hematite_elba,No,9/30/2025 17:52
Si,EDS,K series,0.06,0.00033,0.06,0.0119,0.0615,,,,,Nepheline,No,9/24/2025 22:58
Ti,EDS,K series,28.86,0.26542,27.9496,0.0537,16.7844,,,,,TiO2,No,5/13/2025 18:15
V,EDS,K series,0.25,0.00249,0.261,0.0271,0.1474,,,,,V,Yes,
Mn,EDS,K series,3.26,0.03086,3.6114,0.0323,1.8909,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,34.35,0.31228,35.392,0.0796,18.2294,,,,,Fayalite,No,9/24/2025 22:59
Nb,EDS,L series,0.53,0.00528,0.7009,0.0363,0.217,,,,,Nb,Yes,
Total,,,,,102.8313,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Magnetite_ph_01,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,25.74,0.1464,28.292,0.0768,57.9766,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.08,0.00045,0.1293,0.0158,0.1571,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.05,0.00029,0.0603,0.0132,0.0704,,,,,Nepheline,No,9/24/2025 22:58
Fe,EDS,K series,73.44,0.66762,71.1955,0.1055,41.796,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,99.6771,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Magnetite_ph_02,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,25.65,0.14586,28.1695,0.0767,57.9214,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.08,0.00044,0.1259,0.0157,0.1535,,,,,Nepheline,No,9/24/2025 22:58
Fe,EDS,K series,73.44,0.66758,71.1738,0.1054,41.925,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,99.4692,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Magnetite_ph_03,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,25.54,0.14527,28.0801,0.0766,57.791,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.09,0.00052,0.1514,0.0157,0.1848,,,,,Nepheline,No,9/24/2025 22:58
Fe,EDS,K series,73.56,0.66867,71.2762,0.1055,42.0242,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,99.5077,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Goethite_01,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,35.94,0.20439,38.5633,0.0849,68.9378,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.17,0.00094,0.2555,0.0151,0.2708,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.39,0.00208,0.411,0.0139,0.4185,,,,,Nepheline,No,9/24/2025 22:58
P,EDS,K series,1.12,0.00891,1.4673,0.017,1.3549,,,,,Chlorapatite,No,4/28/2025 23:22
Ca,EDS,K series,0.14,0.00122,0.1262,0.0113,0.0901,,,,,Diopside,No,5/13/2025 18:15
Mn,EDS,K series,0.13,0.00121,0.1357,0.0192,0.0707,,,,,MnO,No,4/30/2025 17:42
