grain,texture
BRc02_grain_02,IF
BRc02_grain_03,IF
BRc02_grain_04,
BRc02_grain_05,
BRc02_grain_06,IF
BRc02_grain_07,EH
BRc02_grain_10,
BRc02_grain_100,EH
BRc02_grain_11,
BRc02_grain_13,EH
BRc02_grain_15,
BRc02_grain_17,EH
BRc02_grain_18,EH
BRc02_grain_19,IF
BRc02_grain_20,EH
BRc02_grain_21,
BRc02_grain_24,EH
BRc02_grain_25,
BRc02_grain_30,M
BRc02_grain_31,
BRc02_grain_33,
BRc02_grain_34,EH
BRc02_grain_35,EH
BRc02_grain_36,EH
BRc02_grain_37,EH
BRc02_grain_43,EH
BRc02_grain_45,EH
BRc02_grain_46,M
BRc02_grain_47,IF
BRc02_grain_49,EH
BRc02_grain_50,M
BRc02_grain_52,IF
BRc02_grain_53,M
BRc02_grain_54,EH
BRc02_grain_58,FH
BRc02_grain_59,M
BRc02_grain_60,EH
BRc02_grain_61,
BRc02_grain_62,FH
BRc02_grain_63,EH
BRc02_grain_64,EH
BRc02_grain_66,EH
BRc02_grain_67,IF
BRc02_grain_70,M
BRc02_grain_72,M
BRc02_grain_74,M
BRc02_grain_76,
BRc02_grain_78,EH
BRc02_grain_79,EH
BRc02_grain_80,M
BRc02_grain_82,
BRc02_grain_83,EH
BRc02_grain_84,IF
BRc02_grain_85,IF
BRc02_grain_87,IF
BRc02_grain_88,M
BRc02_grain_89,MH
BRc02_grain_90,
BRc02_grain_91,FH
BRc02_grain_92,EH
BRc02_grain_93,EH
BRc02_grain_94,EH
BRc02_grain_95,EH
BRc02_grain_96,EH
BRc02_grain_97, 
BRc02_grain_98,EH
BRc02_grain_99,EH
