grain,texture
BRc_grain_02,IF
BRc_grain_07,IF
BRc_grain_12,IF
BRc_grain_15,EH
BRc_grain_16,EH
BRc_grain_22,EH
BRc_grain_28,EH
BRc_grain_31,FH
BRc_grain_33,IF
BRc_grain_37,IF
BRc_grain_43,IF
BRc_grain_45,IF
BRc_grain_50,IF
BRc_grain_51,EH
BRc_grain_53,IF
BRc_grain_55,IF
BRc_grain_56,IF
BRc_grain_58,EH
BRc_grain_60,EH
BRc_grain_16,EH
BRc_grain_70,EH
BRc_grain_73,IF
BRc_grain_80,EH
BRc_grain_85,EH
BRc_grain_87,IF
BRc_grain_88,EH
BRc_grain_90,IF
BRc_grain_93,FH
BRc_grain_98,IF
BRc_grain_101,IF
BRc_grain_102,IF
BRc_grain_104,EH
BRc_grain_106,IF
BRc_grain_107,IF
BRc_grain_108,IF
BRc_grain_109,EH
BRc_grain_110,EH
BRc_grain_111,EH
BRc_grain_112,IF
BRc_grain_113,EH
BRc_grain_114,IF
BRc_grain_115,EH
BRc_grain_116,M
BRc_grain_117,EH
BRc_grain_119,IF
BRc_grain_120,EH
BRc_grain_121,IF
BRc_grain_122,EH
BRc_grain_123,EH
BRc_grain_125,IF
BRc_grain_126,EH
BRc_grain_127,IF
BRc_grain_129,IF
BRc_grain_130,IF
BRc_grain_131,EH
BRc_grain_133,M
BRc_grain_132,IF
BRc_grain_134,EH
BRc_grain_137,MH
BRc_grain_138,IF
BRc_grain_139,EH
BRc_grain_140,EH
BRc_grain_141,EH
BRc_grain_142,EH
BRc_grain_144,IF
BRc_grain_145,IF
