grain,texture
BRe_grain_01,EH
BRe_grain_02,IF
BRe_grain_04,IF
BRe_grain_05,EH
BRe_grain_06,IF
BRe_grain_07,EH
BRe_grain_09,IF
BRe_grain_100,EH
BRe_grain_101,EH
BRe_grain_102,IF
BRe_grain_103,EH
BRe_grain_104,EH
BRe_grain_105,EH
BRe_grain_106,EH
BRe_grain_107,EH
BRe_grain_108,EH
BRe_grain_109,EH
BRe_grain_110,EH
BRe_grain_111,IF
BRe_grain_112,
BRe_grain_12,EH
BRe_grain_13,IF
BRe_grain_14,M
BRe_grain_17,IF
BRe_grain_18,IF
BRe_grain_19,IF
BRe_grain_20,IF
BRe_grain_21,IF
BRe_grain_22,EH
BRe_grain_23,IF
BRe_grain_26,IF
BRe_grain_27,IF
BRe_grain_28,IF
BRe_grain_30,EH
BRe_grain_31,EH
BRe_grain_33,IF
BRe_grain_34,IF
BRe_grain_36,IF
BRe_grain_39,EH
BRe_grain_43,IF
BRe_grain_45,IF
BRe_grain_47,IF
BRe_grain_51,EH
BRe_grain_55,EH
BRe_grain_56,IF
BRe_grain_60,IF
BRe_grain_61,IF
BRe_grain_62,IF
BRe_grain_63,IF
BRe_grain_64,M
BRe_grain_67,M
BRe_grain_69,IF
BRe_grain_70,IF
BRe_grain_71,IF
BRe_grain_72,IF
BRe_grain_73,IF
BRe_grain_74,EH
BRe_grain_75,EH
BRe_grain_76,EH
BRe_grain_77,EH
BRe_grain_78,IF
BRe_grain_79,IF
BRe_grain_83,IF
BRe_grain_84,MH
BRe_grain_85,IF
BRe_grain_89,IF
BRe_grain_90,M
BRe_grain_91,IF
BRe_grain_92,IF
BRe_grain_93,IF
BRe_grain_96,IF
BRe_grain_99,
