grain,texture
LRa01_grain_03,M
LRa01_grain_04,IF
LRa01_grain_06,IF
LRa01_grain_05,MH
LRa01_grain_09,M
LRa01_grain_11,MH
LRa01_grain_12,MH
LRa01_grain_13,IF
LRa01_grain_14,IF
LRa01_grain_16,IF
LRa01_grain_17,M
LRa01_grain_18,IF
LRa01_grain_20,MH
LRa01_grain_21,M
LRa01_grain_22,IF
LRa01_grain_23,IF
LRa01_grain_24,IF
LRa01_grain_25,MH
LRa01_grain_26,EH
LRa01_grain_28,IF
LRa01_grain_30,IF
LRa01_grain_33,M
LRa01_grain_34,M
LRa01_grain_36,IF
LRa01_grain_37,M
LRa01_grain_39,IF 
LRa01_grain_41,IF
LRa01_grain_42,IF
LRa01_grain_43,MH
LRa01_grain_44,IF
LRa01_grain_47,MH
LRa01_grain_48,M
LRa01_grain_51,IF
LRa01_grain_52,IF
LRa01_grain_53,IF 
LRa01_grain_55,M
LRa01_grain_56,M
LRa01_grain_57,M
LRa01_grain_58,M
LRa01_grain_59,M
LRa01_grain_61,M
LRa01_grain_62,IF
LRa01_grain_63,IF
LRa01_grain_64,M
LRa01_grain_65,M
LRa01_grain_66,M
LRa01_grain_68,IF
LRa01_grain_69,IF
LRa01_grain_70,IF
LRa01_grain_71,MH
LRa01_grain_73,IF
LRa01_grain_74,M
LRa01_grain_75,IF
LRa01_grain_76,M
LRa01_grain_78,M
LRa01_grain_79,EH
LRa01_grain_81,FH
LRa01_grain_82,MH
LRa01_grain_84,IF
LRa01_grain_85,M
LRa01_grain_86,M
LRa01_grain_87,M
