,Spot Size ,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
BRc_grain_02_1,60,0.860629779,0.016476915,0.01699013,0.148463233,0.006125587,0.011597495,0.913721583,0.154859716
BRc_grain_02_2,60,0.846794985,0.013518364,0.014120002,0.192679924,0.008283471,0.016156177,0.900569522,0.253694296
BRc_grain_02_3,60,0.850990043,0.015837508,0.016359103,0.152511617,0.00759216,0.012708686,0.938037241,0.199695249
BRc_grain_02_4,60,0.857516771,0.008559679,0.009503633,0.168223929,0.004032177,0.012529115,0.91225112,0.369121637
BRc_grain_07_1,60,0.861040368,0.011504566,0.012228958,0.154193948,0.003463514,0.011901316,0.808303752,0.431489288
BRc_grain_07_2,60,0.872495662,0.009833903,0.010693792,0.136466115,0.003089836,0.009935513,0.867741319,0.228265531
BRc_grain_07_3,60,0.853211433,0.008320344,0.009279499,0.158352199,0.003379185,0.011381782,0.88181755,0.323597246
BRc_grain_07_4,60,0.840259681,0.009712869,0.01052199,0.249868025,0.004268146,0.018698765,0.788845132,0.347586402
BRc_grain_12_1,60,0.84322548,0.011360372,0.012064246,0.172451039,0.006268622,0.014263673,0.928994454,0.276649445
BRc_grain_12_2,60,0.837844266,0.010164899,0.01093632,0.218161499,0.005005835,0.016366336,0.865070674,0.316548068
BRc_grain_12_3,60,0.862271403,0.021742728,0.02213566,0.168609631,0.007759241,0.014176061,0.895739339,0.070918745
BRc_grain_12_4,60,0.844821008,0.010776441,0.011518785,0.109300352,0.003075739,0.008533313,0.894130995,0.232673679
BRc_grain_15_1,60,0.70852474,0.024309735,0.024547994,1.569862703,0.065494966,0.136241748,0.622360255,0.662992385
BRc_grain_15_2,60,0.688869382,0.021878474,0.022128523,1.699267633,0.056883879,0.139607361,0.535645862,0.58202939
BRc_grain_15_3,60,0.669811437,0.020912794,0.021160067,1.91140019,0.062302613,0.147875768,0.512649155,0.554122989
