,Spot Size ,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
BRc_grain_43_1,60,3.087118467,0.141696458,353.8004353,13.19464996,0.84671623,0.028548745,0.336911223,0.015109438,,0.707498877,0.567386955
BRc_grain_43_2,60,1.872425978,0.124278644,211.9700848,12.66015233,0.857119093,0.036536702,0.581652879,0.03377287,,0.785365508,0.384863169
BRc_grain_43_3,60,1.356414095,0.143147411,152.3368931,15.29059758,0.883088629,0.052175617,0.937725987,0.080412278,,0.873124645,0.428775336
BRc_grain_43_4,60,3.651745947,0.302193523,414.5720623,32.0227706,0.860076905,0.04693032,0.316122409,0.024126171,,0.812496104,0.417227019
BRc_grain_43_5,60,3.552675947,0.151964956,405.004544,13.91053112,0.840427731,0.021834287,0.291366324,0.012012395,,0.780463448,0.550174674
BRc_grain_45_1,60,7.276461476,0.286703788,862.3573178,31.18014674,0.861790336,0.014371,0.140941796,0.005698759,,0.862128752,0.302746717
BRc_grain_45_2,60,4.532220047,0.282191967,539.5044125,32.19619067,0.864589968,0.021684794,0.24228781,0.014071968,,0.901360576,0.274771588
BRc_grain_45_3,60,4.698905087,0.303934819,564.4364765,35.66535816,0.876954574,0.022293543,0.238121302,0.015524107,,0.89700435,0.17675176
BRc_grain_45_4,60,7.067049381,0.29682372,835.953093,32.78105776,0.853883781,0.012981511,0.145972027,0.005737925,,0.891775587,0.190773542
BRc_grain_50_1,60,9.308264069,0.344767469,1102.596663,31.55551406,0.875383781,0.011335929,0.112094992,0.003696957,,0.871227255,0.344346712
BRc_grain_50_2,60,8.102652941,0.243581009,973.5904396,24.60862683,0.877712776,0.012696634,0.12592569,0.003501532,,0.795468734,0.229783779
BRc_grain_50_3,60,8.299805163,0.307056137,973.9715854,29.23811965,0.866655562,0.011505748,0.125325191,0.004163742,,0.85925133,0.33243279
BRc_grain_50_4,60,8.089440212,0.318214162,946.6035686,29.62677305,0.867231655,0.011596511,0.129368385,0.004269443,,0.89004884,0.190724394
BRc_grain_50_5,60,7.02677865,0.289488936,819.7943197,26.80043573,0.862797358,0.011105795,0.149944057,0.005395928,,0.915377804,0.196593363
BRc_grain_50_6,60,7.957116379,0.263335123,922.5567146,22.88825692,0.865064859,0.016978657,0.130398989,0.004197317,,0.761799083,0.512432341
BRc_grain_50_7,60,8.730137481,0.310234463,1037.642161,29.90779484,0.87470779,0.013495261,0.118887529,0.003915966,,0.856668872,0.32171375
BRc_grain_51_1,60,1.896954809,0.055587331,213.5437041,5.326590452,0.825075719,0.017304154,0.535157432,0.01554089,,0.671153642,0.44072647
