,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
Acropolis,,,,,,,,,,,,,,
Acropolis_10,0.217141,0.00265108,0.019549,2.93485,0.0364869,0.562662,0.0986012,0.000799141,0.000826432,4.59514,0.0558533,0.411861,0.794612,0.204146
Acropolis_11,0.218475,0.00633267,0.0205726,2.99003,0.110658,0.58345,0.0983863,0.00261235,0.00262079,4.53788,0.119783,0.389131,0.561321,0.218545
Acropolis_12,0.2808,0.011348,0.0275646,3.8332,0.164809,0.751593,0.100036,0.00239794,0.00240744,3.72272,0.141088,0.342708,0.776051,0.26468
Acropolis_14,0.213049,0.00484374,0.0196598,2.91407,0.0958314,0.566373,0.0998376,0.00284928,0.00285725,4.7106,0.107192,0.435072,0.601664,0.139131
Acropolis_15,0.203448,0.00592786,0.0192922,2.85494,0.118544,0.561777,0.0998263,0.00349849,0.00350498,4.85661,0.161012,0.524014,0.601153,0.306604
Acropolis_16,0.218126,0.00344654,0.0196214,2.94407,0.055667,0.564429,0.098827,0.0010129,0.00103466,4.61946,0.0728625,0.414812,0.814594,0.0350061
Acropolis_17,0.231831,0.00383441,0.0213281,3.1608,0.0554396,0.612433,0.0988561,0.000903165,0.000927524,4.3524,0.0746648,0.415307,0.8129,0.149167
Acropolis_18,0.22844,0.00391967,0.0206846,3.11072,0.092093,0.602307,0.0990673,0.00279534,0.00280334,4.37438,0.0784743,0.414118,0.383351,0.239633
Acropolis_19,0.226118,0.00287802,0.020462,3.11814,0.0758308,0.602703,0.100029,0.00220743,0.00221775,4.42214,0.0569811,0.405121,0.464744,0.0873573
Acropolis_2,0.23057,0.00258581,0.0211928,3.11369,0.0445057,0.604384,0.0983396,0.00113837,0.00115759,4.32663,0.04771,0.391022,0.651981,0.217659
Acropolis_20,0.239117,0.0064622,0.0223367,3.19349,0.129092,0.624967,0.0972897,0.00405406,0.00405938,4.21438,0.108871,0.376313,0.285234,0.247877
Acropolis_22,0.285947,0.00276784,0.0256962,3.87989,0.0432667,0.742511,0.0984772,0.000976766,0.000999162,3.43546,0.032876,0.305217,0.500903,0.388273
Acropolis_23,0.226164,0.0032302,0.0213826,3.14368,0.0351427,0.62104,0.100755,0.00124208,0.00126059,4.51451,0.0670807,0.444047,0.533044,0.639215
Acropolis_24,0.243223,0.00498048,0.0225167,3.45128,0.0998663,0.672212,0.103158,0.00172783,0.00174183,4.11493,0.0830141,0.375306,0.817703,-0.159748
Acropolis_25,0.277986,0.00547136,0.0257152,3.81242,0.0901169,0.741476,0.0997993,0.00113544,0.00115528,3.47849,0.0671395,0.315553,0.900452,-0.0751536
Acropolis_26,0.300508,0.0039893,0.026917,4.07144,0.0527725,0.772613,0.0988803,0.000982682,0.00100513,3.36234,0.0446916,0.301547,0.675546,0.417973
Acropolis_27,0.264573,0.00300929,0.0235596,3.59357,0.060312,0.690324,0.0994525,0.00184081,0.00185303,3.83518,0.0458371,0.358857,0.268014,0.380185
Acropolis_28,0.228346,0.00385872,0.0208858,3.09849,0.0740713,0.600221,0.099608,0.00200196,0.00201324,4.39138,0.0711336,0.385019,0.621073,0.0923793
Acropolis_29,0.2578,0.00394269,0.0239345,3.38948,0.0564239,0.660286,0.0973047,0.000863264,0.000887937,3.88086,0.0603135,0.36614,0.845319,0.0891581
Acropolis_3,0.219108,0.00253291,0.0201496,2.97575,0.0434104,0.58104,0.0979588,0.000695921,0.000726702,4.56254,0.0546199,0.434509,0.86027,-0.101747
Acropolis_4,0.200277,0.00479052,0.0186794,2.74289,0.0708797,0.531921,0.0988496,0.00154271,0.00155709,5.07892,0.127915,0.498772,0.800515,0.186654
Acropolis_5,0.25684,0.00327151,0.0227231,3.52067,0.10301,0.677765,0.0994152,0.00257376,0.0025825,3.81306,0.0500421,0.34758,0.405349,0.0540567
Acropolis_8,0.239252,0.00334338,0.0217816,3.31696,0.0931091,0.644743,0.099493,0.00261846,0.00262707,4.18082,0.0601352,0.391772,0.301013,0.222699
Acropolis_9,0.189085,0.00440557,0.0177478,2.55273,0.0666046,0.500107,0.09819,0.00125772,0.00127509,5.40116,0.123533,0.497652,0.880096,0.0149576
HFO_1,0.122151,0.00195504,0.011227,15.421,0.251001,3.00602,0.914137,0.00581789,0.00613686,8.18768,0.139793,0.802774,0.159023,0.923492
HFO_10,0.121993,0.00187658,0.0113494,15.4025,0.232279,3.03115,0.916266,0.00498889,0.00535911,8.19811,0.135493,0.819453,0.200146,0.934237
HFO_11,0.122128,0.00155494,0.0108064,15.4447,0.198513,2.96634,0.916023,0.00532273,0.00567102,8.1798,0.105471,0.732994,0.25497,0.898471
HFO_12,0.122111,0.00129374,0.0108805,15.4195,0.159784,2.9257,0.918833,0.00497419,0.00534744,8.18628,0.0861937,0.7249,0.313477,0.852022
HFO_13,0.122212,0.0013507,0.0107734,15.4297,0.175095,2.90966,0.91379,0.00451318,0.00491724,8.18316,0.0907435,0.723779,0.20185,0.905718
HFO_14,0.121803,0.00278264,0.0109303,15.3742,0.346903,2.87277,0.91982,0.00562662,0.00595983,8.20466,0.208824,0.820266,0.209824,0.964521
HFO_15,0.12232,0.00251293,0.0108963,15.4488,0.315479,2.87954,0.920279,0.00589599,0.0062151,8.16148,0.184686,0.800815,0.176078,0.955691
HFO_16,0.12214,0.00159592,0.0110491,15.4217,0.206942,2.95808,0.912821,0.00528577,0.00563397,8.18702,0.109562,0.758537,0.167841,0.891466
HFO_17,0.122171,0.00152838,0.011044,15.4252,0.20176,2.95975,0.914266,0.00577136,0.00609286,8.18579,0.105203,0.760189,0.0817174,0.89164
HFO_18,0.122128,0.00121061,0.010979,15.4212,0.149838,2.95024,0.91871,0.00537532,0.00572238,8.18692,0.0791822,0.718103,0.319413,0.820744
HFO_19,0.122186,0.00119311,0.0108047,15.4266,0.152871,2.91224,0.916371,0.00493556,0.00530958,8.18432,0.0805842,0.729763,0.274677,0.85302
HFO_2,0.122225,0.00174576,0.0111402,15.4342,0.213097,2.99007,0.918923,0.00607284,0.00638222,8.18406,0.122912,0.784344,0.290119,0.893677
HFO_20,0.122185,0.00139342,0.0112397,15.4324,0.191261,3.03906,0.920147,0.00490338,0.00528268,8.18651,0.0963966,0.777563,0.142678,0.892
HFO_21,0.122153,0.00137946,0.011086,15.4198,0.175076,2.98527,0.914139,0.00498276,0.00535174,8.18679,0.0936635,0.752727,0.302684,0.878478
HFO_22,0.122084,0.0014319,0.0107997,15.4146,0.172953,2.89033,0.918157,0.00471467,0.00510637,8.18721,0.0931428,0.702502,0.338702,0.899249
HFO_23,0.122194,0.0013419,0.0106739,15.4287,0.171926,2.86747,0.918136,0.00497489,0.00534755,8.18267,0.0917702,0.729971,0.210671,0.888659
HFO_24,0.12214,0.00148766,0.0110179,15.4199,0.182428,2.94234,0.911394,0.00498934,0.00535573,8.18657,0.101428,0.751195,0.305033,0.881727
HFO_25,0.122191,0.00163575,0.0110561,15.4289,0.197066,2.94921,0.915384,0.00469398,0.00508499,8.1852,0.107692,0.727892,0.330509,0.912275
HFO_26,0.122137,0.00163891,0.0110017,15.4209,0.186309,2.94606,0.915776,0.00502109,0.00538872,8.18627,0.108244,0.726623,0.449102,0.9099
HFO_27,0.122179,0.00172698,0.0110291,15.4263,0.187868,2.94683,0.917486,0.00436927,0.00478871,8.18532,0.109251,0.697712,0.619575,0.461937
HFO_28,0.122147,0.000995398,0.010893,15.4208,0.124922,2.91395,0.917353,0.00436717,0.00478667,8.1861,0.0667815,0.730812,0.306321,0.831849
HFO_29,0.122182,0.00159704,0.0109859,15.4293,0.201123,2.9258,0.92054,0.00489194,0.00527238,8.18537,0.111187,0.764851,0.351111,0.915926
HFO_3,0.122066,0.00228276,0.0115056,15.4218,0.289234,3.04386,0.919596,0.00563909,0.00597146,8.19521,0.169785,0.855756,0.179964,0.948019
HFO_30,0.122157,0.00154579,0.0110164,15.4243,0.187861,2.95976,0.918279,0.00473997,0.00512983,8.18585,0.10014,0.713667,0.338661,0.911039
HFO_31,0.122163,0.00131975,0.0109953,15.4246,0.172172,2.96004,0.916748,0.00458343,0.00498426,8.18579,0.0875329,0.729268,0.22697,0.896712
HFO_32,0.12216,0.00116426,0.011025,15.4239,0.146736,2.95723,0.917009,0.00413913,0.00457926,8.18634,0.077197,0.731024,0.28392,0.877345
HFO_34,0.121929,0.00291185,0.0116125,15.3917,0.362187,3.04726,0.915086,0.00561494,0.00594548,8.22139,0.219593,0.875737,0.113112,0.969917
HFO_35,0.122482,0.00259289,0.0115935,15.4634,0.315842,3.06102,0.911858,0.00492896,0.00529991,8.17247,0.196291,0.877673,0.216712,0.963849
HFO_36,0.122116,0.001343,0.0109998,15.4165,0.168348,2.95191,0.916028,0.00513479,0.005495,8.18835,0.0902402,0.739113,0.318904,0.870868
HFO_37,0.122203,0.00123229,0.0109973,15.4311,0.154493,2.94968,0.919758,0.00525313,0.00560853,8.18353,0.0812121,0.724762,0.281899,0.860393
HFO_38,0.122127,0.00115567,0.0108604,15.4196,0.147706,2.92489,0.917483,0.00547032,0.00581081,8.18692,0.0791063,0.7434,0.325422,0.804743
HFO_39,0.122188,0.00123876,0.0107736,15.4274,0.151683,2.89695,0.914732,0.00522633,0.00557967,8.19396,0.084047,0.73096,0.317147,0.834322
HFO_4,0.121662,0.00204002,0.0114142,15.3534,0.241803,3.03506,0.916908,0.00619498,0.00649724,8.23058,0.148212,0.82927,0.250743,0.917334
HFO_40,0.122204,0.00132662,0.0112385,15.4303,0.162001,3.01922,0.917081,0.00495769,0.0053307,8.18553,0.0912618,0.773126,0.253807,0.853916
HFO_41,0.122148,0.00141864,0.0112538,15.4211,0.185181,3.01105,0.91737,0.00478189,0.00516786,8.17558,0.0978982,0.776613,0.188703,0.9086
