,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
Acropolis_13,0.261762,0.00610982,0.022957,3.59595,0.0910352,0.329898,0.101559,0.00141653,0.00141653,3.83436,0.0897947,0.337394,0.899006,0.379031
Acropolis_14,0.287552,0.00304198,0.0248275,4.11753,0.0661876,0.370804,0.102269,0.000963894,0.000963894,3.4785,0.0380506,0.310555,0.724918,0.102169
Acropolis_17,0.257498,0.0133804,0.0257917,4.30175,0.148834,0.411685,0.119788,0.00632455,0.00632455,3.88606,0.205934,0.396952,0.357904,0.779396
Acropolis_21,0.312458,0.00228014,0.0298438,4.48071,0.0532977,0.407133,0.104563,0.000846647,0.000846647,3.24163,0.0229345,0.30018,0.641513,0.271764
Acropolis_23,0.27668,0.00489687,0.023605,3.80259,0.0717114,0.330545,0.100461,0.000522243,0.000522243,3.70706,0.0671663,0.32377,0.955317,0.212704
Acropolis_25,0.2544,0.00315819,0.0219573,3.60907,0.0642443,0.327827,0.102231,0.00149433,0.00149433,3.91661,0.0450132,0.312954,0.630042,0.174943
Acropolis_26,0.304379,0.00657967,0.026613,5.06514,0.126957,0.480905,0.123786,0.00248455,0.00248455,3.34669,0.0716174,0.289673,0.322244,0.525357
HFO_1,0.122148,0.000883655,0.0105288,15.4228,0.106287,1.39468,0.919676,0.00631341,0.00631341,8.18674,0.0585435,0.697547,0.460047,0.606382
HFO_10,0.122181,0.00130035,0.0106906,15.4257,0.158072,1.39318,0.913376,0.00633354,0.00633354,8.18561,0.0860544,0.707478,0.686576,0.497435
HFO_11,0.122163,0.00153601,0.0107584,15.4241,0.171844,1.40124,0.91817,0.00653245,0.00653245,8.1874,0.102374,0.717043,0.751924,0.491169
