,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
Acropolis_1,0.21631,0.00291911,0.0163838,2.95102,0.0434201,0.228562,0.0998199,0.000906199,0.000944908,4.67633,0.0676738,0.379827,0.773415,0.207428
Acropolis_10,0.248209,0.00412612,0.0179984,3.36636,0.0696343,0.254234,0.0983952,0.00176841,0.00178799,4.07895,0.0702073,0.306248,0.615562,0.150193
Acropolis_12,0.240145,0.00359263,0.0174081,3.20221,0.0511479,0.248827,0.0977614,0.0004977,0.000562524,4.19428,0.0661418,0.32049,0.949974,-0.0452625
Acropolis_13,0.271932,0.0038142,0.0192667,3.72946,0.0959649,0.285397,0.0999629,0.00254084,0.00255494,3.66939,0.0532846,0.269157,0.461371,0.125192
Acropolis_14,0.245481,0.0040799,0.0177439,3.36512,0.0972988,0.261831,0.0989799,0.00264587,0.00265915,4.1006,0.0680447,0.295934,0.372215,0.140711
Acropolis_15,0.249197,0.0046498,0.0182818,3.44619,0.0848549,0.263792,0.100292,0.00220424,0.00222059,4.07319,0.0741481,0.291531,0.537002,0.223993
Acropolis_17,0.261228,0.00541552,0.0187205,3.6082,0.132355,0.290056,0.0991242,0.0029671,0.00297899,3.89367,0.0864114,0.298708,0.56149,0.0064625
Acropolis_19,0.250513,0.00445832,0.0180988,3.4367,0.100587,0.267811,0.100327,0.00271525,0.00272854,4.00779,0.0682897,0.277225,0.455318,0.167836
Acropolis_20,0.247853,0.00603114,0.0183279,3.30016,0.143178,0.278117,0.0978727,0.00394464,0.00395336,4.08718,0.102409,0.311209,0.513311,0.187651
Acropolis_21,0.270143,0.00489758,0.0194108,3.70527,0.142512,0.302495,0.0995304,0.00370305,0.00371265,3.70139,0.0666515,0.264163,0.385863,0.0939004
Acropolis_23,0.258752,0.00464724,0.0187101,3.48742,0.100688,0.271406,0.0976988,0.00245429,0.00246823,3.89752,0.0724307,0.291611,0.552629,0.0545011
Acropolis_26,0.261141,0.00356259,0.0183392,3.62434,0.0697809,0.268856,0.100016,0.00193769,0.00195617,3.85841,0.0535861,0.275846,0.427846,0.253899
