,Spot Size (µm),Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE(int),Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE(int),Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE(int),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
HFO_58,60,0.12216,0.000710751,742.935235,4.082912121,15.424,0.09155155,2841.896433,5.787284926,0.9167,0.004243615,4973.591101,0,8.185985593,0.049027527,,0.652253969,0.432981507
HFO_56,60,0.12216,0.000881524,742.9089352,5.065038198,15.424,0.093915036,2841.16743,5.827075262,0.9167,0.004240501,,,8.185985593,0.059583069,,0.72824016,0.383742609
HFO_57,60,0.12216,0.00068882,742.9381518,3.959820142,15.424,0.092072595,2841.195235,5.688583851,0.9167,0.004405643,,,8.185985593,0.045556606,,0.587149101,0.443427938
HFO_55,60,0.12216,0.001076158,742.8719354,6.190524704,15.424,0.115040342,2840.840073,7.207551196,0.9167,0.004163501,,,8.185985593,0.072607878,,0.851243251,0.324235021
HFO_54,60,0.12216,0.001514292,742.7626228,8.694585039,15.424,0.207982085,2838.728894,12.84342101,0.9167,0.004830121,4987.994163,16.98389497,8.185985593,0.101307268,,0.913283263,0.137375539
HFO_53,60,0.12216,0.001101705,742.8667445,6.329580372,15.424,0.143483045,2840.316312,8.952932993,0.9167,0.004232664,,,8.185985593,0.074332324,,0.850088588,0.252560454
HFO_52,60,0.12216,0.001139926,742.8586472,6.542251198,15.424,0.152852888,2840.129982,9.480970774,0.9167,0.004583802,4974.143681,17.60022345,8.185985593,0.077314556,,0.829259436,0.237181547
HFO_50,60,0.12216,0.001207753,742.8430066,6.941421882,15.424,0.159104586,2839.973697,9.938469889,0.9167,0.003963097,,,8.185985593,0.082104179,,0.891710624,0.266643886
HFO_51,60,0.12216,0.001236523,742.8362375,7.105690901,15.424,0.171952977,2840.9781,10.97714055,0.9167,0.004760318,4968.027803,20.31937316,8.185985593,0.083861564,,0.87017001,0.157804865
HFO_48,60,0.12216,0.000948337,742.897335,5.439130305,15.424,0.129772576,2840.629002,7.882048725,0.9167,0.004261896,4985.864121,6.74715049,8.185985593,0.064235031,,0.860472466,0.244322252
HFO_49,60,0.12216,0.001127634,742.8613958,6.469396729,15.424,0.137762,2840.460768,8.462505226,0.9167,0.004686952,4969.871297,4.743514533,8.185985593,0.074550466,,0.881093356,0.255651157
HFO_46,60,0.12216,0.000932809,742.9000978,5.352436026,15.424,0.127217675,2840.664952,7.77522935,0.9167,0.004061391,,,8.185985593,0.061478744,,0.832441345,0.160214811
HFO_47,60,0.12216,0.000837505,742.9163042,4.809324916,15.424,0.109123357,2840.954605,6.724553115,0.9167,0.004874645,4872.41548,230.4877325,8.185985593,0.055962241,,0.452155925,0.559803441
HFO_44,60,0.12216,0.000996918,742.888045,5.725767446,15.424,0.12534754,2840.678646,7.762796483,0.9167,0.004420933,4992.560825,0,8.185985593,0.066984622,,0.852604064,0.221880436
HFO_45,60,0.12216,0.000853761,742.9136706,4.901549887,15.424,0.103718896,2841.822232,6.250224034,0.9167,0.004964399,4988.295373,13.86957919,8.185985593,0.058450929,,0.66639016,0.431246849
HFO_42,60,0.12216,0.000873986,742.910215,5.021686241,15.424,0.108099265,2841.810271,6.522781171,0.9167,0.003831573,4995.316454,0,8.185985593,0.057384022,,0.800593706,0.312779154
HFO_43,60,0.12216,0.000830259,742.9174353,4.769650572,15.424,0.103910562,2841.034096,6.398143221,0.9167,0.004300843,,,8.185985593,0.05391961,,0.741540999,0.364050544
HFO_40,60,0.12216,0.000902071,742.9055368,5.176167938,15.424,0.112443774,2840.915707,6.853622742,0.9167,0.003963948,,,8.185985593,0.059505676,,0.819500987,0.291082959
HFO_41,60,0.12216,0.001106392,742.8658336,6.352916322,15.424,0.113537487,2840.876934,7.044363108,0.9167,0.004467727,,,8.185985593,0.073985354,,0.821129832,0.34253389
HFO_38,60,0.12216,0.000858073,742.9129003,4.929467007,15.424,0.10383248,2841.028324,6.436861167,0.9167,0.004163492,4988.256619,0,8.185985593,0.057737655,,0.796038347,0.399270509
HFO_39,60,0.12216,0.001009815,742.8855571,5.798921431,15.424,0.111836646,2840.914516,6.878667513,0.9167,0.00466888,4993.802994,0,8.185985593,0.067572558,,0.763150964,0.429030231
HFO_36,60,0.12216,0.001406203,742.7927243,8.086009128,15.424,0.194549429,2839.037833,12.26391942,0.9167,0.004603892,4985.088057,0,8.185985593,0.096622883,,0.906233087,0.039097754
HFO_37,60,0.12216,0.000781227,742.9251039,4.486182967,15.424,0.110691186,2840.928585,6.831762534,0.9167,0.004005014,,,8.185985593,0.05518238,,0.796898894,0.310350151
HFO_34,60,0.12216,0.00119005,742.8470985,6.840368592,15.424,0.161001466,2839.940237,10.01742409,0.9167,0.004827246,4997.819336,0,8.185985593,0.082970732,,0.864394713,0.263371415
HFO_35,60,0.12216,0.000860127,742.9126582,4.936138888,15.424,0.098535682,2841.964553,6.257704493,0.9167,0.00393681,,,8.185985593,0.056834944,,0.795531978,0.408326855
HFO_32,60,0.12216,0.000856393,742.9133854,4.909392796,15.424,0.116085676,2840.864973,7.035782767,0.9167,0.004479064,4985.284052,0,8.185985593,0.057826856,,0.834126603,0.32495489
HFO_33,60,0.12216,0.000982822,742.8908618,5.639305132,15.424,0.127070117,2840.666719,7.771324681,0.9167,0.005188272,4996.931719,3.301759987,8.185985593,0.066630966,,0.806528544,0.297447807
HFO_30,60,0.12216,0.001038125,742.8799812,5.960486568,15.424,0.13735936,2840.460038,8.477150191,0.9167,0.004918436,,,8.185985593,0.069260358,,0.778026876,0.248855028
HFO_31,60,0.12216,0.000862513,742.9122393,4.950659086,15.424,0.110430771,2840.929057,6.836354207,0.9167,0.00466622,4995.290299,0,8.185985593,0.057181833,,0.727178393,0.328462235
HFO_28,60,0.12216,0.001171336,742.8514041,6.73135509,15.424,0.143679544,2840.334311,8.868761157,0.9167,0.005365814,4950.883753,0,8.185985593,0.079732955,,0.787768464,0.414782653
HFO_29,60,0.12216,0.000909418,742.9042726,5.218074283,15.424,0.119566852,2840.797985,7.304562913,0.9167,0.004678674,4993.811436,0,8.185985593,0.060068362,,0.882075026,0.311081847
HFO_26,60,0.12216,0.00083591,742.9166271,4.797012026,15.424,0.093491871,2841.178298,5.764456734,0.9167,0.004208087,4994.55147,0,8.185985593,0.055240415,,0.828786733,0.313383424
HFO_27,60,0.12216,0.00092648,742.9013095,5.312808969,15.424,0.117356935,2840.826305,7.213232496,0.9167,0.004848824,,,8.185985593,0.060561337,,0.835138261,0.37162449
HFO_24,60,0.12216,0.001005931,742.8865134,5.768345527,15.424,0.112086408,2840.915579,6.867055257,0.9167,0.004235371,,,8.185985593,0.065957221,,0.900359282,0.264951486
HFO_25,60,0.12216,0.000733418,742.9321673,4.20749628,15.424,0.10492545,2841.027603,6.408002891,0.9167,0.00419317,,,8.185985593,0.048134462,,0.831738204,0.312063944
HFO_22,60,0.12216,0.001005871,742.8863572,5.774845264,15.424,0.127521272,2840.642128,7.88198309,0.9167,0.004621836,4982.595625,13.84964426,8.185985593,0.067063449,,0.78649389,0.349080277
HFO_23,60,0.12216,0.000946408,742.8976212,5.431190975,15.424,0.107575844,2840.991719,6.550702975,0.9167,0.004719625,4983.950427,15.56927736,8.185985593,0.062747151,,0.840712852,0.140562968
HFO_20,60,0.12216,0.00093856,742.8990279,5.387132135,15.424,0.107446443,2842.053634,6.904443974,0.9167,0.004140044,,,8.185985593,0.062423041,,0.87209329,0.397554144
HFO_21,60,0.12216,0.00097847,742.8916814,5.614310138,15.424,0.11911922,2840.791105,7.353631199,0.9167,0.00455083,4970.729796,38.04808543,8.185985593,0.066243948,,0.778946567,0.38727686
HFO_18,60,0.12216,0.000930764,742.9003526,5.346116082,15.424,0.10064586,2841.083942,6.179768301,0.9167,0.004457231,4991.925979,0,8.185985593,0.062539784,,0.770723661,0.484129819
HFO_19,60,0.12216,0.000969055,742.8935461,5.55647081,15.424,0.124796999,2840.713758,7.59658995,0.9167,0.004123701,,,8.185985593,0.069014746,,0.891743991,0.285157532
HFO_16,60,0.12216,0.000821232,742.9189079,4.71620126,15.424,0.112904357,2840.90205,6.919250866,0.9167,0.004586651,4991.264685,0,8.185985593,0.054981089,,0.772519656,0.33605637
HFO_17,60,0.12216,0.000811095,742.9205339,4.656606467,15.424,0.114987907,2840.868666,7.047189537,0.9167,0.004873412,4995.509372,0.943436813,8.185985593,0.053988656,,0.820740881,0.409521582
HFO_59,60,0.12216,0.000847822,742.9147919,4.859959822,15.424,0.087476388,2841.264589,5.325202348,0.9167,0.004826637,4996.840644,0,8.185985593,0.055024533,,0.804979675,0.482746769
HFO_6,60,0.12216,0.001002492,742.8870294,5.754874732,15.424,0.111706904,2840.916017,6.874392073,0.9167,0.004374274,4986.889976,0,8.185985593,0.06667277,,0.827923266,0.351879079
HFO_60,60,0.12216,0.000810716,742.9206206,4.65292399,15.424,0.095247345,2841.158872,5.845353726,0.9167,0.004872332,4981.184862,0,8.185985593,0.053630486,,0.780146182,0.390033541
91500-28,40,0.151735136,0.002021185,910.3082434,11.30183829,1.577842554,0.033899375,958.2589254,13.20396681,0.075662048,0.001383806,1068.406693,37.47574913,6.631253909,0.087924944,,0.48549813,0.0608602
91500-29,40,0.151864549,0.00194431,911.0600081,10.8834283,1.568730289,0.032202967,956.5779508,13.09138535,0.075087165,0.001187172,1070.563857,33.22325381,6.622914122,0.085766165,,0.580690467,-0.074074549
91500-27,40,0.146003128,0.001729179,878.2424444,9.729601198,1.524725251,0.030695993,939.4473213,11.76275242,0.076137294,0.00127357,1084.213284,33.27946413,6.846263605,0.082275898,,0.528442797,0.004099578
91500-26,40,0.148432483,0.001890628,891.8412262,10.60151857,1.529880784,0.032285463,939.3864956,12.79177248,0.075384676,0.001469019,1059.790324,38.30534029,6.763303465,0.085792943,,0.448505614,-0.072022078
91500-25,40,0.147537071,0.001939874,886.7954135,10.88104147,1.547038662,0.035707799,945.656886,13.94647773,0.076438779,0.001518224,1086.557237,39.68191994,6.79510798,0.08825602,,0.447644756,-0.102171155
91500-24,40,0.14865874,0.001784914,893.1471949,10.00340007,1.551085373,0.033465287,947.6467482,13.27341003,0.076005696,0.001436454,1076.754121,38.04574497,6.741700824,0.08007544,,0.644820146,-0.126466946
91500-23,40,0.151365557,0.001676512,908.3559941,9.37543356,1.581494191,0.031412213,960.0767782,12.5063754,0.0759559,0.001410372,1089.818937,39.15249033,6.625168559,0.072772556,,0.399369542,0.11237239
91500-22,40,0.147736797,0.001716116,887.992806,9.624806612,1.515905765,0.030669412,935.7105083,12.72657476,0.075109611,0.001417619,1053.057905,37.861536,6.796379991,0.077946159,,0.50878785,-0.018103098
91500-21,40,0.156114027,0.002258504,934.6818432,12.57438295,1.61494839,0.037155288,972.1883982,14.36612681,0.074734486,0.001358855,1048.124405,37.722504,6.450865786,0.092571814,,0.593993191,0.064418517
91500-20,40,0.154479544,0.002252224,925.5619236,12.57641507,1.59286261,0.034662588,964.0495753,13.4228767,0.074503746,0.001302752,1038.76855,35.93430878,6.505934023,0.095834441,,0.465686258,0.135836618
91500-19,40,0.158015736,0.00231716,945.2531419,12.8993654,1.663148672,0.037043345,990.9587883,13.88047287,0.07629068,0.001375539,1090.815734,36.73518269,6.36428484,0.09452504,,0.523237236,0.109941957
91500-18,40,0.152062071,0.002186228,912.0740359,12.23121631,1.559285372,0.034300956,954.2777852,13.67927088,0.075055794,0.001456845,1056.161986,38.20540734,6.628628774,0.095941304,,0.565865097,0.035619114
91500-17,40,0.15451546,0.00219982,925.7844112,12.27058597,1.605653742,0.037028267,968.5577071,14.40329083,0.075515876,0.001380878,1073.786094,37.23441893,6.509313403,0.092287271,,0.642376567,-0.075169245
91500-16,40,0.152806527,0.002189032,916.2384908,12.22408021,1.606667703,0.039169388,968.4971496,15.24341485,0.076129145,0.00151348,1094.216368,39.33154017,6.58519686,0.093754222,,0.56320586,-0.042125227
91500-15,40,0.153465014,0.002380778,919.8410102,13.27097426,1.563735506,0.037628493,951.9160137,14.65474843,0.07421257,0.001413542,1028.471503,38.356108,6.562030106,0.099692271,,0.619558438,-0.031466583
91500-14,40,0.153941583,0.002214443,922.573112,12.3550641,1.620952984,0.038679164,978.0229673,15.01514978,0.076613098,0.001348896,1098.868481,36.50752498,6.533038123,0.093274996,,0.641792044,-0.104218095
